8.1v,8.1i,8.2v,8.2i,8.3v,8.3i,8.4v,8.4i,8.5v,8.5i,8.6v,8.6i,8.7v,8.7i,8.8v,8.8i,8.9v,8.9i,9.0v,9.0i
1,1.34E-05,1,1.34E-05,1,1.35E-05,1,1.36E-05,1,1.36E-05,1,1.37E-05,1,1.37E-05,1,1.37E-05,1,1.38E-05,1,1.39E-05
1.000000004,1.31E-05,1.000000004,1.31E-05,1.000000004,1.32E-05,1.000000004,1.33E-05,1.000000004,1.33E-05,1.000000004,1.34E-05,1.000000004,1.34E-05,1.000000004,1.34E-05,1.000000004,1.36E-05,1.000000004,1.36E-05
1.000000014,1.28E-05,1.000000014,1.28E-05,1.000000014,1.29E-05,1.000000014,1.30E-05,1.000000014,1.30E-05,1.000000014,1.31E-05,1.000000014,1.32E-05,1.000000014,1.32E-05,1.000000014,1.33E-05,1.000000014,1.33E-05
1.000000032,1.25E-05,1.000000032,1.25E-05,1.000000032,1.26E-05,1.000000032,1.27E-05,1.000000032,1.27E-05,1.000000032,1.28E-05,1.000000032,1.29E-05,1.000000032,1.29E-05,1.000000032,1.30E-05,1.000000032,1.31E-05
1.000000089,1.19E-05,1.000000089,1.20E-05,1.000000089,1.21E-05,1.000000089,1.21E-05,1.000000089,1.22E-05,1.000000089,1.23E-05,1.000000089,1.23E-05,1.000000089,1.23E-05,1.000000089,1.25E-05,1.000000089,1.25E-05
1.000000175,1.14E-05,1.000000175,1.14E-05,1.000000175,1.15E-05,1.000000175,1.16E-05,1.000000175,1.17E-05,1.000000175,1.17E-05,1.000000175,1.18E-05,1.000000175,1.18E-05,1.000000175,1.19E-05,1.000000175,1.20E-05
1.000000433,1.03E-05,1.000000433,1.04E-05,1.000000433,1.05E-05,1.000000433,1.06E-05,1.000000433,1.07E-05,1.000000433,1.07E-05,1.000000433,1.08E-05,1.000000433,1.08E-05,1.000000433,1.10E-05,1.00000029,1.15E-05
1.000000762,9.51E-06,1.000000762,9.60E-06,1.000000762,9.68E-06,1.000000762,9.76E-06,1.000000762,9.84E-06,1.000000762,9.92E-06,1.000000762,1.00E-05,1.000000762,1.00E-05,1.000000762,1.02E-05,1.000000604,1.06E-05
1.000001184,8.74E-06,1.000001184,8.83E-06,1.000001184,8.91E-06,1.000001184,9.00E-06,1.000001184,9.08E-06,1.000001184,9.16E-06,1.000001184,9.25E-06,1.000001184,9.25E-06,1.000001184,9.41E-06,1.000001033,9.73E-06
1.000001698,8.04E-06,1.000001698,8.12E-06,1.000001698,8.21E-06,1.000001698,8.30E-06,1.000001698,8.38E-06,1.000001698,8.47E-06,1.000001698,8.55E-06,1.000001698,8.55E-06,1.000001698,8.71E-06,1.000001575,8.94E-06
1.000002303,7.39E-06,1.000002303,7.47E-06,1.000002303,7.56E-06,1.000002303,7.65E-06,1.000002303,7.73E-06,1.000002303,7.82E-06,1.000002303,7.90E-06,1.000002303,7.90E-06,1.000002303,8.07E-06,1.000002232,8.22E-06
1.000003001,6.79E-06,1.000003001,6.88E-06,1.000003001,6.97E-06,1.000003001,7.05E-06,1.000003001,7.14E-06,1.000003001,7.22E-06,1.000003001,7.31E-06,1.000003001,7.31E-06,1.000003001,7.47E-06,1.000003001,7.55E-06
1.00000379,6.24E-06,1.00000379,6.33E-06,1.00000379,6.42E-06,1.00000379,6.50E-06,1.00000379,6.59E-06,1.00000379,6.67E-06,1.00000379,6.76E-06,1.00000379,6.76E-06,1.00000379,6.92E-06,1.000003884,6.94E-06
1.000004671,5.74E-06,1.000004671,5.82E-06,1.000004671,5.91E-06,1.000004671,6.00E-06,1.000004671,6.08E-06,1.000004671,6.16E-06,1.000004671,6.25E-06,1.000004671,6.25E-06,1.000004671,6.41E-06,1.000004879,6.38E-06
1.000005642,5.27E-06,1.000005642,5.36E-06,1.000005642,5.44E-06,1.000005642,5.53E-06,1.000005642,5.61E-06,1.000005642,5.69E-06,1.000005642,5.78E-06,1.000005642,5.78E-06,1.000005642,5.94E-06,1.000005986,5.87E-06
1.000006704,4.85E-06,1.000006704,4.93E-06,1.000007856,4.62E-06,1.000007856,4.70E-06,1.000007856,4.78E-06,1.000007856,4.86E-06,1.000007856,4.94E-06,1.000007856,4.94E-06,1.000007856,5.09E-06,1.000007205,5.40E-06
1.000009097,4.10E-06,1.000009097,4.17E-06,1.000010428,3.92E-06,1.000010428,3.99E-06,1.000010428,4.07E-06,1.000010428,4.14E-06,1.000010428,4.22E-06,1.000010428,4.22E-06,1.000010428,4.37E-06,1.000008534,4.96E-06
1.000011847,3.46E-06,1.000011847,3.53E-06,1.000013354,3.32E-06,1.000013354,3.39E-06,1.000013354,3.46E-06,1.000013354,3.53E-06,1.000013354,3.60E-06,1.000013354,3.60E-06,1.000013354,3.75E-06,1.000011524,4.19E-06
1.000014948,2.92E-06,1.000014948,2.99E-06,1.000016629,2.82E-06,1.000016629,2.88E-06,1.000016629,2.95E-06,1.000016629,3.02E-06,1.000016629,3.08E-06,1.000016629,3.08E-06,1.000016629,3.21E-06,1.000014948,3.54E-06
1.000018397,2.47E-06,1.000018397,2.53E-06,1.00002025,2.39E-06,1.00002025,2.45E-06,1.00002025,2.51E-06,1.00002025,2.57E-06,1.00002025,2.63E-06,1.00002025,2.63E-06,1.00002025,2.76E-06,1.000018801,2.99E-06
1.000022187,2.09E-06,1.000022187,2.14E-06,1.000024209,2.03E-06,1.000024209,2.08E-06,1.000024209,2.14E-06,1.000024209,2.20E-06,1.000024209,2.25E-06,1.000024209,2.25E-06,1.000024209,2.37E-06,1.000023075,2.53E-06
