5.1v,5.1i,5.2v,5.2i,5.3v,5.3i,5.4v,5.4i,5.5v,5.5i,5.6v,5.6i,5.7v,5.7i,5.8v,5.8i,5.9v,5.9i,6.0v,6.0i
1,1.08E-05,1,1.09E-05,1,1.10E-05,1,1.11E-05,1,1.12E-05,1,1.13E-05,1,1.14E-05,1,1.15E-05,1,1.16E-05,1,1.17E-05
1.000000004,1.04E-05,1.000000004,1.05E-05,1.000000004,1.06E-05,1.000000004,1.07E-05,1.000000004,1.09E-05,1.000000004,1.10E-05,1.000000004,1.11E-05,1.000000004,1.12E-05,1.000000004,1.13E-05,1.000000004,1.14E-05
1.000000014,1.00E-05,1.000000014,1.01E-05,1.000000014,1.03E-05,1.000000014,1.04E-05,1.000000014,1.05E-05,1.000000014,1.06E-05,1.000000014,1.07E-05,1.000000014,1.08E-05,1.000000014,1.09E-05,1.000000014,1.10E-05
1.000000032,9.66E-06,1.000000032,9.79E-06,1.000000032,9.91E-06,1.000000032,1.00E-05,1.000000032,1.01E-05,1.000000032,1.03E-05,1.000000032,1.04E-05,1.000000032,1.05E-05,1.000000032,1.06E-05,1.000000032,1.07E-05
1.000000089,8.98E-06,1.000000089,9.10E-06,1.000000089,9.23E-06,1.000000089,9.35E-06,1.000000089,9.47E-06,1.000000089,9.59E-06,1.000000089,9.70E-06,1.000000089,9.82E-06,1.000000089,9.93E-06,1.000000089,1.00E-05
1.000000175,8.33E-06,1.000000175,8.47E-06,1.000000175,8.59E-06,1.000000175,8.72E-06,1.000000175,8.84E-06,1.000000175,8.96E-06,1.000000175,9.08E-06,1.000000175,9.20E-06,1.000000175,9.31E-06,1.000000175,9.42E-06
1.00000029,7.74E-06,1.00000029,7.87E-06,1.00000029,8.00E-06,1.00000029,8.13E-06,1.00000029,8.25E-06,1.00000029,8.38E-06,1.00000029,8.50E-06,1.00000029,8.61E-06,1.000000433,8.19E-06,1.000000433,8.30E-06
1.000000433,7.18E-06,1.000000433,7.32E-06,1.000000433,7.45E-06,1.000000433,7.58E-06,1.000000433,7.70E-06,1.000000433,7.83E-06,1.000000433,7.95E-06,1.000000433,8.07E-06,1.000000742,7.34E-06,1.000000744,7.45E-06
1.000000604,6.67E-06,1.000000604,6.80E-06,1.000000604,6.93E-06,1.000000604,7.06E-06,1.000000604,7.19E-06,1.000000604,7.32E-06,1.000000604,7.44E-06,1.000000604,7.56E-06,1.000001135,6.57E-06,1.00000114,6.68E-06
1.000000804,6.19E-06,1.000000804,6.33E-06,1.000000804,6.46E-06,1.000000804,6.59E-06,1.000000804,6.71E-06,1.000000804,6.84E-06,1.000000804,6.96E-06,1.000000804,7.08E-06,1.00000161,5.89E-06,1.00000162,5.99E-06
1.000001033,5.75E-06,1.000001033,5.88E-06,1.000001033,6.01E-06,1.000001033,6.14E-06,1.000001033,6.27E-06,1.000001033,6.39E-06,1.000001033,6.51E-06,1.000001033,6.64E-06,1.000002168,5.28E-06,1.000002183,5.38E-06
1.000001575,4.95E-06,1.000001575,5.08E-06,1.000001575,5.21E-06,1.000001575,5.33E-06,1.000001575,5.46E-06,1.000001575,5.58E-06,1.000001575,5.70E-06,1.000001575,5.82E-06,1.000002809,4.73E-06,1.000002829,4.82E-06
1.000002232,4.27E-06,1.000002232,4.39E-06,1.000002232,4.51E-06,1.000002232,4.63E-06,1.000002232,4.75E-06,1.000002232,4.87E-06,1.000002232,4.99E-06,1.000002232,5.11E-06,1.000003531,4.24E-06,1.000003559,4.33E-06
1.000003001,3.68E-06,1.000003001,3.79E-06,1.000003001,3.91E-06,1.000003001,4.03E-06,1.000003001,4.14E-06,1.000003001,4.25E-06,1.000003001,4.37E-06,1.000003001,4.48E-06,1.000004336,3.80E-06,1.000004372,3.88E-06
1.000003884,3.17E-06,1.000003884,3.28E-06,1.000003884,3.39E-06,1.000003884,3.50E-06,1.000003884,3.61E-06,1.000003884,3.71E-06,1.000003884,3.82E-06,1.000003884,3.93E-06,1.000005222,3.40E-06,1.000005267,3.49E-06
1.000004879,2.73E-06,1.000004879,2.83E-06,1.000004879,2.93E-06,1.000004879,3.04E-06,1.000004879,3.14E-06,1.000004879,3.24E-06,1.000004879,3.35E-06,1.000004879,3.45E-06,1.00000619,3.05E-06,1.000006245,3.13E-06
1.000005986,2.35E-06,1.000005986,2.45E-06,1.000005986,2.54E-06,1.000005986,2.64E-06,1.000005986,2.74E-06,1.000005986,2.83E-06,1.000005986,2.93E-06,1.000005986,3.02E-06,1.000008367,2.45E-06,1.000008445,2.51E-06
1.000007205,2.03E-06,1.000007205,2.11E-06,1.000007205,2.20E-06,1.000007205,2.29E-06,1.000007205,2.38E-06,1.000007205,2.47E-06,1.000007205,2.56E-06,1.000007205,2.65E-06,1.000010866,1.96E-06,1.000010971,2.02E-06
1.000008534,1.75E-06,1.000008534,1.83E-06,1.000008534,1.91E-06,1.000008534,1.99E-06,1.000008534,2.08E-06,1.000008534,2.16E-06,1.000008534,2.24E-06,1.000008534,2.33E-06,1.000013682,1.57E-06,1.000013817,1.63E-06
1.000009974,1.51E-06,1.000009974,1.58E-06,1.000009974,1.66E-06,1.000009974,1.73E-06,1.000009974,1.81E-06,1.000009974,1.89E-06,1.000009974,1.97E-06,1.000009974,2.04E-06,1.000016811,1.26E-06,1.00001698,1.31E-06
1.000013182,1.11E-06,1.000013182,1.18E-06,1.000013182,1.24E-06,1.000013182,1.31E-06,1.000013182,1.37E-06,1.000013182,1.44E-06,1.000013182,1.50E-06,1.000013182,1.57E-06,1.000020249,1.01E-06,1.000020456,1.05E-06
1.000016822,8.24E-07,1.000016822,8.76E-07,1.000016822,9.28E-07,1.000016822,9.82E-07,1.000016822,1.04E-06,1.000016822,1.09E-06,1.000016822,1.15E-06,1.000016822,1.21E-06,1.000023992,8.15E-07,1.000024239,8.48E-07
1.000020886,6.10E-07,1.000020886,6.52E-07,1.000020886,6.95E-07,1.000020886,7.40E-07,1.000020886,7.85E-07,1.000020886,8.32E-07,1.000020886,8.79E-07,1.000020886,9.27E-07,1.000028033,6.56E-07,1.000028324,6.84E-07
1.000025368,4.53E-07,1.000025368,4.87E-07,1.000025368,5.22E-07,1.000025368,5.58E-07,1.000025368,5.95E-07,1.000025368,6.34E-07,1.000025368,6.73E-07,1.000025368,7.13E-07,1.000032367,5.29E-07,1.000032706,5.53E-07
1.000030258,3.37E-07,1.000030258,3.64E-07,1.000030258,3.93E-07,1.000030258,4.22E-07,1.000030258,4.53E-07,1.000030258,4.84E-07,1.000030258,5.16E-07,1.000030258,5.50E-07,1.000041889,3.41E-07,1.000042331,3.58E-07
1.000035546,2.52E-07,1.000035546,2.74E-07,1.000035546,2.97E-07,1.000035546,3.20E-07,1.000035546,3.45E-07,1.000035546,3.71E-07,1.000035546,3.98E-07,1.000035546,4.25E-07,1.000052505,2.21E-07,1.000053062,2.33E-07
1.000041223,1.90E-07,1.000041223,2.07E-07,1.000041223,2.26E-07,1.000041223,2.45E-07,1.000041223,2.65E-07,1.000041223,2.86E-07,1.000041223,3.08E-07,1.000041223,3.30E-07,1.000064156,1.46E-07,1.000064836,1.54E-07
1.000053699,1.07E-07,1.000053699,1.18E-07,1.000053699,1.29E-07,1.000053699,1.41E-07,1.000053699,1.54E-07,1.000053699,1.68E-07,1.000053699,1.82E-07,1.000053699,1.96E-07,1.000076775,9.93E-08,1.000077586,1.05E-07
1.000067587,6.28E-08,1.000067587,6.93E-08,1.000067587,7.63E-08,1.000067587,8.38E-08,1.000067587,9.19E-08,1.000067587,1.00E-07,1.000067587,1.10E-07,1.000067587,1.19E-07,1.000090293,7.14E-08,1.000091242,7.57E-08
1.000082782,4.09E-08,1.000082782,4.48E-08,1.000082782,4.91E-08,1.000082782,5.38E-08,1.000082782,5.88E-08,1.000082782,6.42E-08,1.000082782,7.00E-08,1.000082782,7.61E-08,1.000104635,5.48E-08,1.000105726,5.79E-08
1.000099167,3.13E-08,1.000099167,3.37E-08,1.000099167,3.63E-08,1.000099167,3.88E-08,1.000099167,4.20E-08,1.000099167,4.54E-08,1.000099167,4.91E-08,1.000099167,5.30E-08,1.000135471,3.67E-08,1.000136855,3.83E-08
1.000116618,2.75E-08,1.000116618,2.90E-08,1.000116618,3.07E-08,1.000116618,3.22E-08,1.000116618,3.42E-08,1.000116618,3.64E-08,1.000116618,3.88E-08,1.000116618,4.14E-08,1.000168615,3.16E-08,1.000170289,3.25E-08
1.000154186,2.50E-08,1.000154186,2.57E-08,1.000154186,2.64E-08,1.000154186,2.68E-08,1.000154186,2.76E-08,1.000154186,2.85E-08,1.000154186,2.95E-08,1.000154186,3.05E-08,1.000203366,3.15E-08,1.000205314,3.22E-08
1.00019438,2.64E-08,1.00019438,2.68E-08,1.00019438,2.73E-08,1.00019438,2.76E-08,1.00019438,2.80E-08,1.00019438,2.85E-08,1.00019438,2.90E-08,1.00019438,2.96E-08,1.000239013,3.26E-08,1.000241207,3.32E-08
1.000236057,2.81E-08,1.000236057,2.86E-08,1.000236057,2.90E-08,1.000236057,2.94E-08,1.000236057,2.99E-08,1.000236057,3.04E-08,1.000236057,3.08E-08,1.000236057,3.11E-08,1.000274868,3.34E-08,1.000277269,3.39E-08
1.000278097,2.90E-08,1.000278097,2.96E-08,1.000278097,3.01E-08,1.000278097,3.06E-08,1.000278097,3.11E-08,1.000278097,3.16E-08,1.000278097,3.21E-08,1.000278097,3.24E-08,1.000310292,3.35E-08,1.000312854,3.41E-08
1.000319474,2.90E-08,1.000319474,2.96E-08,1.000319474,3.01E-08,1.000319474,3.07E-08,1.000319474,3.12E-08,1.000319474,3.18E-08,1.000319474,3.23E-08,1.000319474,3.28E-08,1.000377754,3.23E-08,1.000380496,3.28E-08
