2.1v,2.1i,2.2v,2.2i,2.3v,2.3i,2.4v,2.4i,2.5v,2.5i,2.6v,2.6i,2.7v,2.7i,2.8v,2.8i,2.9v,2.9i,3.0v,3.0i
1,5.55E-06,1,5.81E-06,1,6.05E-06,1,6.29E-06,1,6.52E-06,1,6.74E-06,1,6.96E-06,1,7.17E-06,1,7.38E-06,1,7.58E-06
1.000000004,5.10E-06,1.000000004,5.35E-06,1.000000004,5.59E-06,1.000000004,5.83E-06,1.000000004,6.06E-06,1.000000004,6.28E-06,1.000000004,6.50E-06,1.000000004,6.72E-06,1.000000004,6.93E-06,1.000000004,7.13E-06
1.000000013,4.71E-06,1.000000013,4.96E-06,1.000000013,5.20E-06,1.000000013,5.44E-06,1.000000013,5.67E-06,1.000000013,5.90E-06,1.000000013,6.12E-06,1.000000013,6.33E-06,1.000000013,6.54E-06,1.000000014,6.71E-06
1.000000028,4.36E-06,1.000000028,4.60E-06,1.000000028,4.84E-06,1.000000028,5.08E-06,1.000000028,5.31E-06,1.000000028,5.53E-06,1.000000028,5.75E-06,1.000000028,5.97E-06,1.000000028,6.18E-06,1.000000032,6.31E-06
1.000000049,4.03E-06,1.000000049,4.27E-06,1.000000049,4.51E-06,1.000000049,4.74E-06,1.000000049,4.97E-06,1.000000049,5.19E-06,1.000000049,5.41E-06,1.000000049,5.63E-06,1.000000049,5.84E-06,1.000000089,5.57E-06
1.000000108,3.44E-06,1.000000108,3.67E-06,1.000000108,3.90E-06,1.000000108,4.12E-06,1.000000108,4.34E-06,1.000000108,4.56E-06,1.000000108,4.78E-06,1.000000108,4.99E-06,1.000000108,5.20E-06,1.000000165,4.97E-06
1.000000181,2.97E-06,1.000000181,3.19E-06,1.000000181,3.41E-06,1.000000191,3.58E-06,1.000000191,3.79E-06,1.000000191,4.00E-06,1.000000191,4.21E-06,1.000000191,4.42E-06,1.000000191,4.62E-06,1.000000307,4.25E-06
1.000000384,2.21E-06,1.000000384,2.41E-06,1.000000384,2.60E-06,1.000000337,2.95E-06,1.000000339,3.15E-06,1.00000034,3.35E-06,1.000000341,3.54E-06,1.000000342,3.73E-06,1.000000343,3.92E-06,1.000000492,3.64E-06
1.000000599,1.74E-06,1.000000602,1.91E-06,1.000000604,2.09E-06,1.000000526,2.44E-06,1.000000529,2.62E-06,1.000000532,2.79E-06,1.000000535,2.97E-06,1.000000538,3.15E-06,1.000000541,3.33E-06,1.00000072,3.11E-06
1.000000862,1.37E-06,1.000000868,1.52E-06,1.000000874,1.68E-06,1.000000756,2.01E-06,1.000000762,2.17E-06,1.000000767,2.33E-06,1.000000772,2.50E-06,1.000000777,2.66E-06,1.000000782,2.82E-06,1.000000991,2.66E-06
1.000001173,1.08E-06,1.000001183,1.21E-06,1.000001193,1.34E-06,1.000001027,1.66E-06,1.000001036,1.80E-06,1.000001045,1.95E-06,1.000001052,2.10E-06,1.00000106,2.25E-06,1.000001069,2.40E-06,1.000001306,2.27E-06
1.000001531,8.55E-07,1.000001547,9.65E-07,1.000001562,1.08E-06,1.00000134,1.37E-06,1.000001353,1.50E-06,1.000001365,1.63E-06,1.000001376,1.76E-06,1.000001387,1.90E-06,1.000001399,2.03E-06,1.000001664,1.95E-06
1.000001936,6.75E-07,1.000001959,7.68E-07,1.00000198,8.66E-07,1.000001695,1.13E-06,1.000001712,1.24E-06,1.000001728,1.36E-06,1.000001743,1.48E-06,1.000001758,1.60E-06,1.000001775,1.73E-06,1.000002065,1.66E-06
1.000002389,5.33E-07,1.000002419,6.12E-07,1.000002447,6.95E-07,1.00000209,9.32E-07,1.000002113,1.03E-06,1.000002134,1.14E-06,1.000002153,1.25E-06,1.000002173,1.35E-06,1.000002194,1.46E-06,1.000002509,1.42E-06
1.00000289,4.21E-07,1.000002928,4.87E-07,1.000002964,5.58E-07,1.000002527,7.70E-07,1.000002556,8.58E-07,1.000002582,9.51E-07,1.000002606,1.05E-06,1.000002631,1.14E-06,1.000002658,1.24E-06,1.000003525,1.04E-06
1.000004032,2.60E-07,1.00000409,3.07E-07,1.000004145,3.58E-07,1.000003525,5.21E-07,1.000003567,5.89E-07,1.000003605,6.60E-07,1.000003641,7.35E-07,1.000003678,8.13E-07,1.000003717,8.92E-07,1.000004713,7.56E-07
1.000005362,1.61E-07,1.000005444,1.93E-07,1.000005521,2.29E-07,1.000004687,3.51E-07,1.000004745,4.03E-07,1.000004798,4.58E-07,1.000004848,5.16E-07,1.000004898,5.77E-07,1.000004952,6.39E-07,1.000006071,5.51E-07
1.000006879,1.00E-07,1.000006989,1.23E-07,1.000007091,1.48E-07,1.000006012,2.37E-07,1.000006088,2.76E-07,1.000006158,3.18E-07,1.000006224,3.62E-07,1.00000629,4.10E-07,1.000006362,4.59E-07,1.000007598,4.02E-07
1.000008582,6.38E-08,1.000008722,7.93E-08,1.000008854,9.69E-08,1.000007499,1.61E-07,1.000007597,1.90E-07,1.000007686,2.21E-07,1.00000777,2.55E-07,1.000007854,2.92E-07,1.000007946,3.30E-07,1.000009292,2.94E-07
1.000010468,4.25E-08,1.000010644,5.19E-08,1.000010809,6.42E-08,1.000009148,1.10E-07,1.000009269,1.31E-07,1.00000938,1.55E-07,1.000009484,1.80E-07,1.000009588,2.08E-07,1.000009703,2.38E-07,1.000011154,2.16E-07
1.000014788,1.63E-08,1.000012752,3.54E-08,1.000012953,4.41E-08,1.000010957,7.62E-08,1.000011103,9.19E-08,1.000011238,1.09E-07,1.000011365,1.28E-07,1.000011491,1.49E-07,1.00001163,1.72E-07,1.000013181,1.60E-07
1.000019824,6.88E-09,1.00001752,1.51E-08,1.000017804,1.89E-08,1.000015049,3.38E-08,1.000015255,4.19E-08,1.000015443,5.03E-08,1.000015621,6.08E-08,1.000015798,7.27E-08,1.000015992,8.56E-08,1.000017725,8.36E-08
1.00002556,4.56E-09,1.000023011,7.54E-09,1.00002339,9.11E-09,1.000019766,1.52E-08,1.000020039,1.90E-08,1.00002029,2.31E-08,1.000020526,2.86E-08,1.000020762,3.49E-08,1.00002102,4.20E-08,1.000022911,4.37E-08
1.000031978,4.90E-09,1.000029205,5.77E-09,1.000029693,6.46E-09,1.000025093,8.19E-09,1.000025443,1.00E-08,1.000025764,1.20E-08,1.000026066,1.47E-08,1.000026368,1.80E-08,1.000026698,2.17E-08,1.000028724,2.41E-08
1.000039056,5.78E-09,1.000036083,5.97E-09,1.000036691,6.37E-09,1.000031015,6.51E-09,1.00003145,7.41E-09,1.000031848,8.39E-09,1.000032224,9.80E-09,1.000032599,1.15E-08,1.000033009,1.32E-08,1.000035146,1.56E-08
1.000046772,6.56E-09,1.000043622,6.60E-09,1.00004436,6.94E-09,1.000037515,6.64E-09,1.000038043,7.17E-09,1.000038526,7.75E-09,1.000038982,8.55E-09,1.000039436,9.52E-09,1.000039934,1.03E-08,1.000042159,1.21E-08
1.000064015,7.78E-09,1.000051797,7.26E-09,1.000052675,7.61E-09,1.000052177,7.45E-09,1.000045204,7.63E-09,1.000045778,8.06E-09,1.00004632,8.59E-09,1.00004686,9.22E-09,1.000047451,9.72E-09,1.000057873,9.66E-09
1.000083486,8.77E-09,1.000069945,8.43E-09,1.000071128,8.83E-09,1.000068913,8.75E-09,1.000061143,8.75E-09,1.000061918,9.09E-09,1.000062648,9.44E-09,1.000063376,9.80E-09,1.000064173,9.92E-09,1.000075681,1.06E-08
1.000104935,9.63E-09,1.000090289,9.44E-09,1.000091805,9.90E-09,1.000087536,9.98E-09,1.000079088,9.93E-09,1.000080082,1.03E-08,1.000081018,1.07E-08,1.000081952,1.11E-08,1.000082973,1.13E-08,1.000095377,1.23E-08
1.000128092,1.04E-08,1.000112566,1.03E-08,1.00011443,1.08E-08,1.000107839,1.10E-08,1.000098833,1.10E-08,1.000100061,1.14E-08,1.000101216,1.19E-08,1.000102368,1.23E-08,1.000103627,1.27E-08,1.000116733,1.38E-08
1.000152666,1.10E-08,1.000136487,1.11E-08,1.000138708,1.16E-08,1.000129598,1.18E-08,1.000120158,1.19E-08,1.000121627,1.24E-08,1.000123009,1.29E-08,1.000124387,1.34E-08,1.000125891,1.39E-08,1.000139506,1.49E-08
1.000178357,1.15E-08,1.00016175,1.17E-08,1.000164326,1.23E-08,1.000152577,1.25E-08,1.000142826,1.27E-08,1.000144539,1.32E-08,1.00014615,1.38E-08,1.000147754,1.43E-08,1.000149506,1.48E-08,1.000163438,1.58E-08
1.000204854,1.18E-08,1.00018804,1.21E-08,1.000190957,1.27E-08,1.00017653,1.30E-08,1.000166588,1.33E-08,1.000168541,1.38E-08,1.000170377,1.45E-08,1.000172204,1.50E-08,1.000174198,1.56E-08,1.000188265,1.64E-08
1.000259041,1.23E-08,1.000242425,1.28E-08,1.000245951,1.34E-08,1.00022635,1.38E-08,1.00021637,1.43E-08,1.000218771,1.49E-08,1.000221024,1.54E-08,1.000223263,1.60E-08,1.000225702,1.66E-08,1.000239534,1.72E-08
1.000307575,1.22E-08,1.000291738,1.29E-08,1.000295687,1.34E-08,1.000272014,1.40E-08,1.000262348,1.46E-08,1.000265087,1.52E-08,1.000272826,1.58E-08,1.000275401,1.63E-08,1.000278201,1.69E-08,1.000291225,1.74E-08
1.000354364,1.17E-08,1.000339724,1.24E-08,1.000343952,1.30E-08,1.000317063,1.38E-08,1.000307977,1.45E-08,1.000310969,1.50E-08,1.000323816,1.54E-08,1.000326625,1.60E-08,1.000329673,1.65E-08,1.000341478,1.69E-08
1.000398363,1.10E-08,1.000385144,1.17E-08,1.000389514,1.22E-08,1.000360373,1.33E-08,1.000352049,1.39E-08,1.000355202,1.44E-08,1.000372388,1.47E-08,1.000375325,1.52E-08,1.000378506,1.56E-08,1.000388878,1.59E-08
1.000439129,1.01E-08,1.000427326,1.09E-08,1.000431749,1.13E-08,1.000401158,1.25E-08,1.000393681,1.32E-08,1.000396911,1.36E-08,1.000417542,1.36E-08,1.000420526,1.41E-08,1.000423756,1.45E-08,1.000432703,1.47E-08
1.000477043,9.46E-09,1.000466381,1.01E-08,1.000470869,1.05E-08,1.000439118,1.15E-08,1.000432457,1.21E-08,1.000435717,1.25E-08,1.000459145,1.26E-08,1.000462163,1.30E-08,1.000465433,1.33E-08,1.000473198,1.36E-08
1.000513506,9.39E-09,1.00050344,9.62E-09,1.000508171,1.02E-08,1.00047458,1.08E-08,1.000468583,1.14E-08,1.00047189,1.18E-08,1.000498228,1.20E-08,1.000501385,1.24E-08,1.000504822,1.28E-08,1.000511862,1.33E-08
1.000549859,9.34E-09,1.000540171,9.94E-09,1.000545255,1.02E-08,1.000508666,1.07E-08,1.000503055,1.11E-08,1.000506528,1.15E-08,1.000536745,1.18E-08,1.00054015,1.23E-08,1.000543856,1.27E-08,1.000588849,1.29E-08
1.000586212,9.31E-09,1.000613634,9.71E-09,1.000582338,1.02E-08,1.000576544,1.06E-08,1.000571459,1.10E-08,1.000575411,1.14E-08,1.000575263,1.21E-08,1.000578915,1.25E-08,1.000582891,1.29E-08,1.000656621,1.31E-08
1.000658918,9.30E-09,1.000678491,9.68E-09,1.000656506,1.02E-08,1.000637633,1.06E-08,1.000633022,1.10E-08,1.000637405,1.15E-08,1.000652298,1.20E-08,1.000656446,1.24E-08,1.00066096,1.28E-08,1.000724394,1.32E-08
1.000731624,9.32E-09,1.000743348,9.75E-09,1.000723256,1.02E-08,1.000698723,1.06E-08,1.000694585,1.10E-08,1.0006994,1.15E-08,1.00072163,1.19E-08,1.000726223,1.23E-08,1.000731223,1.28E-08,1.000792166,1.32E-08
