9.1v,9.1i,9.2v,9.2i,9.3v,9.3i,9.4v,9.4i,9.5v,9.5i,9.6v,9.6i,9.7v,9.7i,9.8v,9.8i,9.9v,9.9i,10.0v,10.0i
1,1.40E-05,1,1.40E-05,1,1.41E-05,1,1.41E-05,1,1.42E-05,1,1.42E-05,1,1.43E-05,1,1.43E-05,1,1.44E-05,1,1.44E-05
1.000000004,1.37E-05,1.000000004,1.37E-05,1.000000004,1.38E-05,1.000000004,1.38E-05,1.000000004,1.39E-05,1.000000004,1.39E-05,1.000000004,1.40E-05,1.000000004,1.40E-05,1.000000004,1.41E-05,1.000000004,1.41E-05
1.000000014,1.34E-05,1.000000014,1.35E-05,1.000000014,1.35E-05,1.000000014,1.36E-05,1.000000014,1.36E-05,1.000000014,1.37E-05,1.000000014,1.37E-05,1.000000014,1.38E-05,1.000000014,1.38E-05,1.000000014,1.39E-05
1.000000032,1.31E-05,1.000000032,1.32E-05,1.000000032,1.32E-05,1.000000032,1.33E-05,1.000000032,1.34E-05,1.000000032,1.34E-05,1.000000032,1.35E-05,1.000000032,1.35E-05,1.000000032,1.36E-05,1.000000032,1.36E-05
1.000000089,1.26E-05,1.000000089,1.26E-05,1.000000089,1.27E-05,1.000000089,1.28E-05,1.000000089,1.28E-05,1.000000089,1.29E-05,1.000000089,1.29E-05,1.000000089,1.30E-05,1.000000089,1.31E-05,1.000000089,1.31E-05
1.000000175,1.21E-05,1.000000175,1.21E-05,1.000000175,1.22E-05,1.000000175,1.23E-05,1.000000175,1.23E-05,1.000000175,1.24E-05,1.000000175,1.25E-05,1.000000175,1.25E-05,1.000000175,1.26E-05,1.000000175,1.26E-05
1.00000029,1.16E-05,1.00000029,1.16E-05,1.00000029,1.17E-05,1.00000029,1.18E-05,1.00000029,1.18E-05,1.00000029,1.19E-05,1.00000029,1.20E-05,1.00000029,1.20E-05,1.00000029,1.21E-05,1.00000029,1.22E-05
1.000000604,1.07E-05,1.000000604,1.07E-05,1.000000604,1.08E-05,1.000000604,1.09E-05,1.000000604,1.09E-05,1.000000604,1.10E-05,1.000000604,1.11E-05,1.000000604,1.11E-05,1.000000604,1.12E-05,1.000000604,1.13E-05
1.000001033,9.80E-06,1.000001033,9.88E-06,1.000001033,9.95E-06,1.000001033,1.00E-05,1.000001033,1.01E-05,1.000001033,1.02E-05,1.000001033,1.02E-05,1.000001033,1.03E-05,1.000001033,1.04E-05,1.000001033,1.04E-05
1.000001575,9.02E-06,1.000001575,9.10E-06,1.000001575,9.17E-06,1.000001575,9.25E-06,1.000001575,9.32E-06,1.000001575,9.40E-06,1.000001575,9.47E-06,1.000001575,9.54E-06,1.000001575,9.61E-06,1.000001575,9.68E-06
1.000002232,8.30E-06,1.000002232,8.38E-06,1.000002232,8.45E-06,1.000002232,8.53E-06,1.000002232,8.61E-06,1.000002232,8.68E-06,1.000002232,8.76E-06,1.000002232,8.83E-06,1.000002232,8.90E-06,1.000002232,8.98E-06
1.000003001,7.63E-06,1.000003001,7.71E-06,1.000003001,7.79E-06,1.000003001,7.87E-06,1.000003001,7.95E-06,1.000003001,8.02E-06,1.000003001,8.10E-06,1.000003001,8.17E-06,1.000003001,8.25E-06,1.000003001,8.32E-06
1.000003884,7.02E-06,1.000003884,7.10E-06,1.000003884,7.18E-06,1.000003884,7.26E-06,1.000003884,7.34E-06,1.000003884,7.42E-06,1.000003884,7.49E-06,1.000003884,7.57E-06,1.000003884,7.64E-06,1.000003884,7.71E-06
1.000004879,6.46E-06,1.000004879,6.54E-06,1.000004879,6.62E-06,1.000004879,6.70E-06,1.000004879,6.78E-06,1.000004879,6.85E-06,1.000004879,6.93E-06,1.000004879,7.00E-06,1.000004879,7.08E-06,1.000004879,7.15E-06
1.000005986,5.95E-06,1.000005986,6.03E-06,1.000005986,6.10E-06,1.000005986,6.18E-06,1.000005986,6.26E-06,1.000005986,6.33E-06,1.000005986,6.41E-06,1.000005986,6.48E-06,1.000005986,6.56E-06,1.000005986,6.63E-06
1.000007205,5.47E-06,1.000007205,5.55E-06,1.000007205,5.63E-06,1.000007205,5.70E-06,1.000007205,5.78E-06,1.000007205,5.85E-06,1.000007205,5.93E-06,1.000007205,6.00E-06,1.000007205,6.07E-06,1.000007205,6.15E-06
1.000008534,5.04E-06,1.000008534,5.11E-06,1.000008534,5.19E-06,1.000008534,5.26E-06,1.000008534,5.34E-06,1.000009974,5.00E-06,1.000009974,5.07E-06,1.000009974,5.14E-06,1.000009974,5.21E-06,1.000009974,5.28E-06
1.000011524,4.26E-06,1.000011524,4.33E-06,1.000011524,4.41E-06,1.000011524,4.48E-06,1.000011524,4.55E-06,1.000012842,4.33E-06,1.000013182,4.33E-06,1.000013182,4.40E-06,1.000013182,4.47E-06,1.000013182,4.54E-06
