1.1v,1.1i,1.2v,1.2i,1.3v,1.3i,1.4v,1.4i,1.5v,1.5i,1.6v,1.6i,1.7v,1.7i,1.8v,1.8i,1.9v,1.9i,2.0v,2.0i
1,2.69E-06,1,3.01E-06,1,3.31E-06,1,3.61E-06,1,3.91E-06,1,4.20E-06,1,4.49E-06,1,4.76E-06,1,5.03E-06,1,5.30E-06
1.000000004,2.30E-06,1.000000004,2.60E-06,1.000000004,2.89E-06,1.000000004,3.18E-06,1.000000004,3.47E-06,1.000000004,3.76E-06,1.000000004,4.04E-06,1.000000004,4.31E-06,1.000000004,4.58E-06,1.000000004,4.84E-06
1.000000012,2.01E-06,1.000000012,2.29E-06,1.000000012,2.58E-06,1.000000012,2.86E-06,1.000000012,3.13E-06,1.000000012,3.41E-06,1.000000013,3.68E-06,1.000000013,3.94E-06,1.000000013,4.20E-06,1.000000013,4.46E-06
1.000000025,1.76E-06,1.000000026,2.03E-06,1.000000026,2.29E-06,1.000000026,2.56E-06,1.000000026,2.83E-06,1.000000027,3.09E-06,1.000000027,3.35E-06,1.000000028,3.61E-06,1.000000028,3.86E-06,1.000000028,4.11E-06
1.000000043,1.54E-06,1.000000044,1.79E-06,1.000000045,2.04E-06,1.000000045,2.30E-06,1.000000046,2.55E-06,1.000000046,2.80E-06,1.000000047,3.05E-06,1.000000048,3.30E-06,1.000000049,3.54E-06,1.000000049,3.79E-06
1.000000094,1.17E-06,1.000000096,1.38E-06,1.000000098,1.60E-06,1.000000099,1.83E-06,1.0000001,2.06E-06,1.000000102,2.29E-06,1.000000103,2.52E-06,1.000000106,2.74E-06,1.000000108,2.97E-06,1.000000108,3.20E-06
1.000000157,9.01E-07,1.00000016,1.09E-06,1.000000163,1.28E-06,1.000000165,1.49E-06,1.000000167,1.69E-06,1.00000017,1.90E-06,1.000000173,2.11E-06,1.000000177,2.32E-06,1.000000181,2.53E-06,1.000000181,2.75E-06
1.00000027,6.25E-07,1.000000275,7.75E-07,1.000000281,9.36E-07,1.000000286,1.11E-06,1.00000029,1.28E-06,1.000000295,1.47E-06,1.0000003,1.65E-06,1.000000307,1.83E-06,1.000000315,2.01E-06,1.000000317,2.20E-06
1.000000413,4.31E-07,1.000000422,5.51E-07,1.000000431,6.81E-07,1.000000439,8.21E-07,1.000000446,9.72E-07,1.000000453,1.13E-06,1.000000462,1.28E-06,1.000000474,1.44E-06,1.000000486,1.60E-06,1.000000491,1.77E-06
1.000000587,2.97E-07,1.0000006,3.91E-07,1.000000613,4.95E-07,1.000000625,6.10E-07,1.000000635,7.35E-07,1.000000646,8.65E-07,1.000000659,9.99E-07,1.000000676,1.13E-06,1.000000693,1.27E-06,1.000000703,1.42E-06
1.000000791,2.05E-07,1.00000081,2.77E-07,1.000000827,3.60E-07,1.000000844,4.52E-07,1.000000857,5.56E-07,1.000000873,6.65E-07,1.000000891,7.77E-07,1.000000913,8.92E-07,1.000000938,1.01E-06,1.000000952,1.14E-06
1.000001026,1.41E-07,1.00000105,1.97E-07,1.000001073,2.62E-07,1.000001095,3.36E-07,1.000001113,4.20E-07,1.000001133,5.11E-07,1.000001158,6.05E-07,1.000001187,7.02E-07,1.00000122,8.01E-07,1.00000124,9.12E-07
1.000001291,9.72E-08,1.000001321,1.40E-07,1.000001352,1.90E-07,1.00000138,2.49E-07,1.000001402,3.18E-07,1.000001428,3.92E-07,1.000001459,4.71E-07,1.000001496,5.53E-07,1.000001538,6.37E-07,1.000001564,7.31E-07
1.000001912,4.35E-08,1.000001958,6.72E-08,1.000001662,1.39E-07,1.000001697,1.85E-07,1.000001724,2.41E-07,1.000001756,3.02E-07,1.000001795,3.67E-07,1.000001841,4.35E-07,1.000001893,5.06E-07,1.000001927,5.87E-07
1.000002653,1.88E-08,1.000002718,3.15E-08,1.000002377,7.10E-08,1.000002428,9.95E-08,1.000002468,1.35E-07,1.000002515,1.75E-07,1.000002571,2.19E-07,1.000002637,2.66E-07,1.000002285,4.03E-07,1.000002327,4.71E-07
1.000003515,8.42E-09,1.000003602,1.50E-08,1.00000322,3.58E-08,1.00000329,5.27E-08,1.000003344,7.47E-08,1.000003408,1.01E-07,1.000003485,1.30E-07,1.000003575,1.62E-07,1.000003178,2.52E-07,1.000003239,3.00E-07
1.000004497,5.15E-09,1.00000461,7.77E-09,1.000004189,1.84E-08,1.000004281,2.83E-08,1.000004352,4.18E-08,1.000004435,5.82E-08,1.000004537,7.74E-08,1.000004655,9.89E-08,1.000004217,1.57E-07,1.000004301,1.91E-07
1.000005599,4.13E-09,1.00000574,5.12E-09,1.000005284,1.09E-08,1.000005401,1.58E-08,1.000005491,2.39E-08,1.000005597,3.43E-08,1.000005725,4.67E-08,1.000005875,6.10E-08,1.000005401,9.79E-08,1.000005512,1.22E-07
1.000008158,2.44E-09,1.000008365,2.13E-09,1.000006505,7.61E-09,1.000006649,9.96E-09,1.000006761,1.50E-08,1.000006891,2.16E-08,1.00000705,2.97E-08,1.000007234,3.82E-08,1.000006729,6.18E-08,1.00000687,7.82E-08
1.000011188,2.03E-09,1.000011473,1.83E-09,1.00000932,3.38E-09,1.000009528,3.43E-09,1.000009688,4.85E-09,1.000009876,6.96E-09,1.000010104,9.84E-09,1.000008733,2.51E-08,1.000008202,4.05E-08,1.000008375,5.19E-08
1.000014682,2.21E-09,1.000015056,2.30E-09,1.000012628,2.31E-09,1.000012911,2.09E-09,1.000013128,2.35E-09,1.000013383,2.83E-09,1.000013694,3.64E-09,1.000012144,9.63E-09,1.000011573,1.50E-08,1.000011824,1.99E-08
1.000018633,2.48E-09,1.000019108,2.71E-09,1.000016421,2.51E-09,1.000016791,2.50E-09,1.000017072,2.55E-09,1.000017405,2.67E-09,1.000017809,2.59E-09,1.000016098,4.50E-09,1.000015507,5.91E-09,1.000015847,7.54E-09
1.000023033,2.75E-09,1.00002362,3.02E-09,1.000020692,2.92E-09,1.000021158,3.08E-09,1.000021512,3.21E-09,1.000021931,3.35E-09,1.00002244,3.24E-09,1.000020587,3.71E-09,1.000019993,3.62E-09,1.000020435,4.07E-09
1.000027872,2.99E-09,1.000028582,3.28E-09,1.000025431,3.29E-09,1.000026003,3.54E-09,1.000026438,3.75E-09,1.000026951,3.97E-09,1.000027576,4.03E-09,1.000025599,4.11E-09,1.00002502,3.87E-09,1.000025577,4.05E-09
