4.1v,4.1i,4.2v,4.2i,4.3v,4.3i,4.4v,4.4i,4.5v,4.5i,4.6v,4.6i,4.7v,4.7i,4.8v,4.8i,4.9v,4.9i,5.0v,5.0i
1.71228563,5.60E-04,1.876487538,-5.22E-04,1.998501,-1.99E-04,1.820956792,7.91E-04,1.86479886,4.22E-04,1.914052922,5.14E-04,1.919252157,5.14E-04,1.909588073,5.68E-04,1.692725457,5.24E-04,1.747468611,5.48E-04
1.734189519,5.46E-04,1.913419027,5.01E-04,1.996500999,0.001868456,1.868164193,6.96E-05,1.904373619,5.68E-04,1.952969147,4.98E-04,1.958726823,4.97E-04,1.949374364,6.05E-04,1.703808352,5.36E-04,1.769261122,5.42E-04
1.756093408,5.38E-04,1.950350516,0.003323349,1.992501,0.002056824,1.962578994,5.01E-04,1.983523136,5.01E-04,1.999499,-0.007214794,1.999499,-0.004823743,1.989160655,4.71E-05,1.725974142,5.50E-04,1.812846145,6.08E-04
1.799901186,5.95E-04,1.987282006,-0.001556782,1.984500999,0.001064725,1.999499,0.003116791,1.999499,4.35E-04,1.999501,2.15E-04,1.999501,3.00E-04,1.999499,2.56E-04,1.748139932,5.39E-04,1.900016191,0.001864738
1.887516743,5.08E-04,1.999499,-0.002023328,1.968500999,2.46E-04,1.999501,5.95E-04,1.999501,7.69E-04,1.998501,0.002093028,1.998501,0.001603051,1.999501,0.00147816,1.770305722,5.33E-04,1.987186237,4.53E-04
1.975132299,4.76E-04,1.999501,4.18E-04,1.936500999,5.00E-04,1.998501,-3.42E-05,1.998501,6.88E-04,1.996500999,-0.001154955,1.996500999,-6.39E-04,1.998501,0.001185932,1.814637302,5.89E-04,1.999499,4.03E-05
1.999499,7.71E-04,1.998501,0.0010145,1.910215326,5.07E-04,1.996500999,0.001069789,1.996500999,1.46E-04,1.992501,4.89E-04,1.992501,-0.006421801,1.996500999,-8.18E-04,1.903300462,0.001881607,1.999501,0.002127206
1.999501,-5.97E-04,1.996500999,-3.66E-05,1.883929653,4.80E-04,1.992501,0.003888803,1.992501,-3.46E-04,1.984500999,0.0013219,1.984500999,-0.00448647,1.992501,-0.001001907,1.991963622,4.59E-04,1.998501,0.001663537
1.998501,-2.65E-04,1.992501,-0.002715001,1.85764398,4.50E-04,1.984500999,0.002935826,1.984500999,-8.50E-07,1.968500999,0.001085374,1.968500999,-1.50E-04,1.984500999,-4.35E-05,1.999499,2.33E-04,1.996500999,-0.001705922
1.996500999,0.002003202,1.984500999,-0.001811362,1.805072633,3.76E-04,1.968500999,8.09E-04,1.968500999,4.95E-04,1.936501,5.04E-04,1.936501,5.01E-04,1.968500999,7.40E-04,1.999501,0.001472774,1.992501,-0.002026374
1.992501,0.002207368,1.968500999,1.99E-04,1.752501286,2.91E-04,1.936501,5.02E-04,1.936501,5.02E-04,1.907701,4.38E-04,1.907701,5.39E-04,1.936500999,5.04E-04,1.998501,0.001193034,1.984500999,-4.23E-04
1.984500999,0.001117011,1.952501,5.78E-04,1.647358593,4.38E-04,1.908680686,4.61E-04,1.907914264,4.87E-04,1.878900999,4.37E-04,1.878900999,4.95E-04,1.904500999,4.66E-04,1.996500999,-8.12E-04,1.968500999,8.99E-04
1.968500999,2.20E-04,1.936501,6.62E-04,1.552730169,2.92E-04,1.880860372,4.51E-04,1.879327529,4.65E-04,1.850100999,4.27E-04,1.850100999,4.48E-04,1.872501,4.47E-04,1.992501,-0.001001899,1.936501,5.05E-04
1.952501,4.09E-04,1.904500999,4.99E-04,1.514146947,5.46E-05,1.853040059,4.35E-04,1.850740794,4.37E-04,1.792501,3.85E-04,1.792501,3.69E-04,1.808501,4.71E-04,1.984500999,-4.71E-05,1.904500999,4.54E-04
1.936500999,5.04E-04,1.878736602,4.72E-04,1.475563725,-4.78E-04,1.797399431,3.72E-04,1.793567324,3.79E-04,1.734900999,3.01E-04,1.734901,2.78E-04,1.744500999,3.88E-04,1.968500999,7.37E-04,1.872501,4.40E-04
1.904500999,4.98E-04,1.852972204,4.59E-04,1.45542779,-0.001029628,1.741758804,2.85E-04,1.736393854,2.93E-04,1.619700999,4.14E-04,1.677301,1.88E-04,1.680501,2.62E-04,1.936500999,5.04E-04,1.808501,4.70E-04
1.877481426,4.83E-04,1.827207806,4.42E-04,1.435291855,-0.001904588,1.63047755,4.25E-04,1.622046913,4.17E-04,1.555082583,2.77E-04,1.612753225,3.61E-04,1.611786417,3.71E-04,1.904500999,4.67E-04,1.744500999,3.89E-04
1.850461852,4.64E-04,1.775679011,3.86E-04,1.417347712,-0.003099285,1.560837539,3.03E-04,1.556887127,2.86E-04,1.511655782,1.49E-05,1.548205451,2.30E-04,1.543071835,2.23E-04,1.872501,4.48E-04,1.680501,2.62E-04
1.823442278,4.40E-04,1.724150216,3.07E-04,1.401661828,-4.59E-03,1.517336415,7.30E-05,1.513508691,3.62E-05,1.482452321,-3.79E-04,1.515931564,3.39E-05,1.505459872,-5.84E-05,1.808501,4.69E-04,1.611300725,3.68E-04
1.76940313,3.71E-04,1.621092625,4.14E-04,1.387963899,-6.34E-03,1.488167633,-2.66E-04,1.484696252,-3.31E-04,1.453248859,-0.001150414,1.483657676,-3.70E-04,1.467847909,-7.11E-04,1.744500999,3.85E-04,1.542100451,2.13E-04
1.715363983,2.84E-04,1.554982989,2.88E-04,1.375635763,-8.32E-03,1.458998851,-9.29E-04,1.455883814,-1.04E-03,1.435862751,-0.001938857,1.461114539,-9.08E-04,1.446876059,-0.001430852,1.680501,2.59E-04,1.504017254,-8.38E-05
1.607285687,4.00E-04,1.515743272,6.73E-05,1.363307627,-1.07E-02,1.441509858,-0.001612998,1.438453933,-1.78E-03,1.418476643,-0.003105626,1.438571402,-1.82E-03,1.42590421,-0.002594483,1.611560282,3.70E-04,1.465934058,-7.81E-04
1.547619044,2.62E-04,1.488536955,-2.48E-04,1.350979491,-1.34E-02,1.424020865,-2.63E-03,1.421024051,-2.88E-03,1.4029987,-0.004586581,1.418357361,-3.15E-03,1.40772502,-0.004149282,1.542619565,2.18E-04,1.444229,-0.001576891
1.511495176,3.49E-05,1.461330639,-8.36E-04,1.338651355,-1.63E-02,1.408280771,-3.95E-03,1.405411743,-4.28E-03,1.389068551,-0.006380244,1.401473095,-4.80E-03,1.392173725,-0.006038647,1.504891437,-6.93E-05,1.422523942,-0.002884228
