0.1v,0.1i,0.2v,0.2i,0.3v,0.3i,0.4v,0.4i,0.5v,0.5i,0.6v,0.6i,0.7v,0.7i,0.8v,0.8i,0.9v,0.9i,1.0v,1.0i
1,5.01E-08,1,1.81E-07,1,3.70E-07,1,6.03E-07,1,8.65E-07,1,1.15E-06,1,1.45E-06,1,1.76E-06,1,2.07E-06,1,2.38E-06
1.000000004,1.75E-08,1.000000004,9.27E-08,1.000000004,2.27E-07,1.000000004,4.09E-07,1.000000004,6.27E-07,1.000000004,8.73E-07,1.000000004,1.14E-06,1.000000004,1.42E-06,1.000000004,1.71E-06,1.000000004,2.00E-06
1.000000013,7.11E-09,1.000000012,5.21E-08,1.000000012,1.51E-07,1.000000011,2.99E-07,1.000000011,4.84E-07,1.000000011,7.00E-07,1.000000011,9.39E-07,1.000000012,1.19E-06,1.000000012,1.46E-06,1.000000012,1.73E-06
1.000000028,3.37E-09,1.000000026,2.96E-08,1.000000024,1.01E-07,1.000000024,2.18E-07,1.000000024,3.74E-07,1.000000024,5.61E-07,1.000000024,7.73E-07,1.000000024,1.00E-06,1.000000025,1.25E-06,1.000000025,1.50E-06
1.000000049,1.87E-09,1.000000044,1.70E-08,1.000000041,6.75E-08,1.00000004,1.60E-07,1.00000004,2.89E-07,1.00000004,4.50E-07,1.000000041,6.37E-07,1.000000041,8.45E-07,1.000000042,1.07E-06,1.000000043,1.30E-06
1.000000108,4.53E-10,1.000000096,3.41E-09,1.000000063,4.52E-08,1.000000087,7.63E-08,1.000000086,1.61E-07,1.000000087,2.76E-07,1.000000088,4.19E-07,1.000000089,5.83E-07,1.000000091,7.64E-07,1.000000093,9.60E-07
1.000000191,3.00E-10,1.000000168,4.88E-10,1.00000012,1.65E-08,1.000000151,3.30E-08,1.00000015,8.52E-08,1.000000151,1.65E-07,1.000000153,2.69E-07,1.000000148,4.12E-07,1.000000151,5.61E-07,1.000000154,7.24E-07
1.000000425,2.31E-10,1.000000372,-6.84E-10,1.000000195,4.99E-09,1.000000232,1.30E-08,1.000000232,4.35E-08,1.000000233,9.62E-08,1.000000265,1.46E-07,1.000000256,2.48E-07,1.00000026,3.59E-07,1.000000264,4.85E-07
1.000000711,2.96E-10,1.000000623,1.50E-10,1.000000399,-2.71E-09,1.000000332,4.87E-09,1.000000331,2.18E-08,1.000000333,5.56E-08,1.000000408,7.71E-08,1.000000393,1.47E-07,1.000000399,2.27E-07,1.000000405,3.23E-07
1.00000107,3.23E-10,1.00000094,4.23E-10,1.000000646,-1.47E-09,1.000000448,2.22E-09,1.000000447,1.08E-08,1.000000451,3.21E-08,1.00000058,3.98E-08,1.000000559,8.65E-08,1.000000567,1.43E-07,1.000000574,2.15E-07
1.000001503,3.28E-10,1.00000132,4.55E-10,1.000000951,3.61E-11,1.000000735,-3.09E-13,1.000000732,7.29E-10,1.000000586,1.86E-08,1.000000784,2.04E-08,1.000000754,5.06E-08,1.000000765,9.01E-08,1.000000774,1.43E-07
1.000002008,3.32E-10,1.000001766,4.47E-10,1.000001315,5.98E-10,1.000001092,2.46E-10,1.000001088,-6.41E-10,1.000000909,4.42E-09,1.000001017,1.06E-08,1.000000979,2.97E-08,1.000000992,5.67E-08,1.000001003,9.46E-08
1.000002587,3.37E-10,1.000002275,4.36E-10,1.000001737,7.02E-10,1.000001518,7.10E-10,1.000001513,1.64E-10,1.000001302,5.97E-10,1.000001576,1.63E-09,1.000001233,1.75E-08,1.000001248,3.58E-08,1.000001261,6.30E-08
1.000003238,3.42E-10,1.000003487,4.68E-10,1.000002218,6.37E-10,1.000002015,7.93E-10,1.000002008,8.07E-10,1.000001766,3.37E-10,1.000002256,5.61E-10,1.000001827,5.15E-09,1.000001849,1.26E-08,1.000001867,2.57E-08
1.000004756,3.61E-10,1.000004795,5.03E-10,1.000003356,6.53E-10,1.000002582,7.36E-10,1.000002573,9.81E-10,1.000002301,7.55E-10,1.000003057,1.39E-09,1.000002538,2.18E-09,1.000002567,5.15E-09,1.00000259,9.93E-09
1.000006369,3.79E-10,1.000006309,5.24E-10,1.000004725,6.72E-10,1.000003924,8.04E-10,1.00000391,1.11E-09,1.000002905,9.42E-10,1.000003978,1.77E-09,1.000003364,2.22E-09,1.000003402,3.69E-09,1.000003431,4.21E-09
1.000008213,3.96E-10,1.000008027,5.38E-10,1.000006326,7.00E-10,1.000005369,8.71E-10,1.000005524,1.14E-09,1.000004324,1.14E-09,1.000005019,1.71E-09,1.000004305,2.37E-09,1.000004353,3.38E-09,1.000004389,2.96E-09
1.000010287,4.12E-10,1.000009948,5.66E-10,1.000008156,7.21E-10,1.000007036,9.01E-10,1.000007412,1.13E-09,1.00000602,1.23E-09,1.000007459,1.53E-09,1.000005362,2.15E-09,1.00000542,2.90E-09,1.000005464,2.81E-09
1.000012588,4.29E-10,1.00001207,5.98E-10,1.000010214,7.36E-10,1.000008926,9.01E-10,1.000009571,1.13E-09,1.000007992,1.26E-09,1.000010372,1.52E-09,1.000007817,1.74E-09,1.000007899,2.11E-09,1.00000796,2.16E-09
1.000015114,4.46E-10,1.000014391,6.31E-10,1.000012497,7.75E-10,1.000011034,9.05E-10,1.000012,1.16E-09,1.000010238,1.29E-09,1.000013751,1.60E-09,1.000010724,1.65E-09,1.000010835,1.85E-09,1.000010916,1.95E-09
1.000020832,4.77E-10,1.000019622,6.92E-10,1.000015004,8.28E-10,1.000013361,9.61E-10,1.000014696,1.20E-09,1.000012755,1.33E-09,1.00001759,1.70E-09,1.000014078,1.73E-09,1.000014221,1.91E-09,1.000014324,2.07E-09
1.000027416,5.06E-10,1.000024988,7.46E-10,1.000017731,8.77E-10,1.000015902,1.04E-09,1.000020872,1.36E-09,1.00001554,1.40E-09,1.00002188,1.83E-09,1.000017872,1.88E-09,1.000018051,2.08E-09,1.000018178,2.27E-09
1.000043075,5.69E-10,1.000030962,7.99E-10,1.000020676,9.24E-10,1.000021621,1.17E-09,1.000027177,1.52E-09,1.000021898,1.60E-09,1.000026613,1.99E-09,1.000022098,2.05E-09,1.000022316,2.27E-09,1.000022471,2.50E-09
1.000083409,9.05E-10,1.000037526,8.48E-10,1.000027209,1.02E-09,1.000027477,1.28E-09,1.000034255,1.67E-09,1.0000285,1.80E-09,1.000031779,2.14E-09,1.000026747,2.23E-09,1.000027009,2.48E-09,1.000027193,2.72E-09
1.000133558,3.30E-09,1.000044662,8.94E-10,1.000034576,1.11E-09,1.000033987,1.39E-09,1.000042082,1.81E-09,1.000035908,1.98E-09,1.000037367,2.30E-09,1.000037281,2.58E-09,1.000037639,2.87E-09,1.000037887,3.16E-09
1.000250571,7.16E-09,1.000052348,9.41E-10,1.000042747,1.20E-09,1.000041128,1.49E-09,1.000050627,1.95E-09,1.000044094,2.16E-09,1.000049763,2.60E-09,1.000048109,2.88E-09,1.000048564,3.21E-09,1.000048877,3.53E-09
1.000469054,1.57E-09,1.000069284,1.04E-09,1.00005169,1.29E-09,1.00004888,1.60E-09,1.000059859,2.08E-09,1.000053025,2.33E-09,1.000062239,2.85E-09,1.000060144,3.16E-09,1.000060703,3.53E-09,1.000061087,3.89E-09
1.000829739,-1.98E-08,1.000088141,1.09E-09,1.000061369,1.36E-09,1.000057218,1.69E-09,1.000069744,2.20E-09,1.000062667,2.49E-09,1.000075879,3.08E-09,1.000073308,3.43E-09,1.000073978,3.83E-09,1.000074437,4.22E-09
1.001550593,-1.43E-08,1.000130745,1.23E-09,1.000071746,1.43E-09,1.000075547,1.88E-09,1.000080247,2.33E-09,1.000072983,2.63E-09,1.000090593,3.29E-09,1.000087517,3.67E-09,1.000088305,4.10E-09,1.000088841,4.53E-09
1.0029923,1.44E-08,1.000178267,1.48E-09,1.00008278,1.50E-09,1.000093769,2.03E-09,1.000091327,2.44E-09,1.000083933,2.78E-09,1.000106284,3.49E-09,1.000102682,3.90E-09,1.000103591,4.36E-09,1.000104207,4.80E-09
1.005875713,8.02E-08,1.000228663,2.24E-09,1.000106642,1.65E-09,1.00011344,2.16E-09,1.000115061,2.64E-09,1.000095476,2.91E-09,1.000122849,3.66E-09,1.000118707,4.08E-09,1.00011974,4.56E-09,1.000120437,5.06E-09
1.011642541,2.94E-07,1.000330079,2.33E-09,1.000132583,1.70E-09,1.000134365,2.27E-09,1.000140604,2.81E-09,1.00012016,3.16E-09,1.000140182,3.80E-09,1.000135494,4.27E-09,1.00013665,4.78E-09,1.000137429,5.28E-09
1.023176195,1.40E-09,1.000501354,-5.86E-09,1.00018909,1.88E-09,1.000156339,2.32E-09,1.000167593,2.94E-09,1.000146663,3.36E-09,1.000176703,4.05E-09,1.000152938,4.42E-09,1.000154217,4.94E-09,1.000173272,5.65E-09
1.032309937,3.48E-09,1.000806068,-1.43E-08,1.000248959,2.08E-09,1.000202592,2.47E-09,1.000195653,3.03E-09,1.000174594,3.50E-09,1.000211059,4.20E-09,1.000189374,4.67E-09,1.000190888,5.23E-09,1.000207047,5.86E-09
1.040291715,3.01E-09,1.001415495,-5.81E-09,1.000308921,2.12E-09,1.000245673,2.31E-09,1.000224404,3.00E-09,1.000203546,3.61E-09,1.000246132,4.25E-09,1.000223338,4.68E-09,1.000225046,5.36E-09,1.000241595,5.96E-09
1.046485956,3.63E-09,1.002634348,1.47E-08,1.000418994,-3.74E-10,1.00033113,2.53E-09,1.000282504,3.07E-09,1.000233114,3.58E-09,1.000281278,4.24E-09,1.000257768,4.79E-09,1.000259643,5.40E-09,1.000276291,5.96E-09
1.051674008,4.51E-09,1.005072056,5.95E-08,1.000601931,-9.33E-09,1.000409574,2.11E-09,1.000333632,2.65E-09,1.00029253,3.62E-09,1.000315906,4.03E-09,1.000292074,4.72E-09,1.000294083,5.36E-09,1.000310561,5.87E-09
1.056194908,5.46E-09,1.009947472,2.73E-08,1.000960822,-7.80E-09,1.000478419,-4.36E-10,1.000426851,2.69E-09,1.000344413,3.16E-09,1.000381702,3.81E-09,1.000358269,4.58E-09,1.000327831,5.12E-09,1.000343904,5.59E-09
1.060263717,6.53E-09,1.014822887,6.78E-08,1.001678603,3.39E-09,1.000607209,-2.35E-09,1.000507337,2.04E-09,1.000393177,3.18E-09,1.00043548,3.26E-09,1.000412413,4.16E-09,1.000391594,4.79E-09,1.000406382,5.17E-09
1.063925646,7.45E-09,1.019698302,2.09E-09,1.003114166,2.35E-08,1.000864605,-4.01E-11,1.000585127,1.45E-09,1.000438096,3.05E-09,1.000531538,3.05E-09,1.000461614,3.77E-09,1.000443594,4.38E-09,1.000457148,4.73E-09
1.067221382,8.53E-09,1.024573718,1.42E-08,1.005985291,7.86E-08,1.001379398,4.68E-09,1.000740707,1.94E-09,1.000519485,2.78E-09,1.000616237,3.18E-09,1.000507524,3.64E-09,1.000491232,4.08E-09,1.000504212,4.48E-09
1.070517118,9.72E-09,1.034324549,3.82E-09,1.011727542,3.65E-09,1.002408984,1.33E-08,1.001051867,3.28E-09,1.000599128,2.76E-09,1.000700937,3.36E-09,1.000552959,4.36E-09,1.000537518,4.72E-09,1.00055063,5.20E-09
1.07348328,1.10E-08,1.04268875,5.10E-09,1.016527557,5.23E-09,1.004468155,4.10E-08,1.001674188,6.33E-09,1.000678771,2.87E-09,1.000870337,3.63E-09,1.000643828,3.96E-09,1.000583798,5.16E-09,1.000597048,4.78E-09
1.076449442,1.24E-08,1.051052951,7.84E-09,1.021327572,3.46E-09,1.008586497,2.07E-08,1.002918829,1.67E-08,1.000838057,3.11E-09,1.001209136,4.41E-09,1.000734697,3.73E-09,1.000630078,4.61E-09,1.000643467,4.17E-09
1.079415605,1.39E-08,1.058580732,1.06E-08,1.025503867,3.85E-09,1.012704839,3.93E-09,1.00540811,5.75E-08,1.001156629,3.83E-09,1.001886733,7.51E-09,1.000825567,3.73E-09,1.000722637,4.04E-09,1.000736304,4.44E-09
1.085347929,1.81E-08,1.066108513,1.43E-08,1.029262533,4.50E-09,1.016823182,3.39E-09,1.007897392,2.06E-08,1.001793773,6.59E-09,1.003241929,1.99E-08,1.001007305,3.99E-09,1.000815197,4.14E-09,1.00082914,5.22E-09
1.090687021,2.24E-08,1.072883516,1.88E-08,1.032645333,5.15E-09,1.025059866,5.14E-09,1.010386673,7.80E-08,1.00306806,1.75E-08,1.00595232,1.18E-08,1.001370783,4.96E-09,1.001000316,4.26E-09,1.001014814,4.80E-09
1.096026113,2.76E-08,1.079658519,6.73E-07,1.035689852,5.83E-09,1.032472882,6.69E-09,1.013279195,1.88E-08,1.005616635,1.03E-08,1.008662712,1.93E-08,1.002097737,8.63E-09,1.001185435,4.61E-09,1.001200487,4.69E-09
