6.1v,6.1i,6.2v,6.2i,6.3v,6.3i,6.4v,6.4i,6.5v,6.5i,6.6v,6.6i,6.7v,6.7i,6.8v,6.8i,6.9v,6.9i,7.0v,7.0i
1,4.50E-09,1,4.64E-09,1,4.78E-09,1,4.92E-09,1,5.07E-09,1,5.22E-09,1,5.36E-09,1,5.52E-09,1,5.67E-09,1,5.82E-09
1.000000004,1.56E-09,1.000000004,1.63E-09,1.000000004,1.70E-09,1.000000004,1.77E-09,1.000000004,1.84E-09,1.000000004,1.91E-09,1.000000004,1.99E-09,1.000000004,2.06E-09,1.000000004,2.14E-09,1.000000004,2.22E-09
1.000000014,5.48E-10,1.000000014,5.77E-10,1.000000014,6.08E-10,1.000000014,6.39E-10,1.000000014,6.72E-10,1.000000014,7.05E-10,1.000000014,7.39E-10,1.000000014,7.75E-10,1.000000014,8.12E-10,1.000000014,8.49E-10
1.000000032,1.92E-10,1.000000032,2.05E-10,1.000000032,2.18E-10,1.000000032,2.32E-10,1.000000032,2.46E-10,1.000000032,2.61E-10,1.000000032,2.76E-10,1.000000032,2.92E-10,1.000000032,3.09E-10,1.000000032,3.26E-10
1.000000089,-4.84E-11,1.000000089,-5.01E-11,1.000000089,-5.17E-11,1.000000089,-5.32E-11,1.000000089,-5.46E-11,1.000000089,-5.60E-11,1.000000089,-5.72E-11,1.000000089,-5.84E-11,1.000000089,-5.94E-11,1.000000089,-6.03E-11
1.000000175,-8.41E-12,1.000000175,-9.64E-12,1.000000175,-1.09E-11,1.000000175,-1.22E-11,1.000000175,-1.36E-11,1.000000175,-1.50E-11,1.000000175,-1.64E-11,1.000000175,-1.78E-11,1.000000175,-1.93E-11,1.000000175,-2.08E-11
1.000000433,-5.10E-12,1.000000433,-6.00E-12,1.000000433,-6.96E-12,1.000000433,-7.99E-12,1.000000433,-9.08E-12,1.000000433,-1.02E-11,1.000000433,-1.15E-11,1.000000433,-1.27E-11,1.000000433,-1.41E-11,1.000000433,-1.55E-11
1.000000746,1.81E-12,1.000000748,1.68E-12,1.00000075,1.54E-12,1.000000751,1.38E-12,1.000000753,1.21E-12,1.000000754,1.02E-12,1.000000756,8.13E-13,1.000000758,5.93E-13,1.00000076,3.55E-13,1.000000762,9.02E-14
1.000001145,4.91E-12,1.00000115,5.01E-12,1.000001154,5.11E-12,1.000001158,5.21E-12,1.000001161,5.31E-12,1.000001165,5.41E-12,1.000001169,5.51E-12,1.000001174,5.62E-12,1.00000118,5.72E-12,1.000001184,5.83E-12
1.000001628,5.96E-12,1.000001636,6.08E-12,1.000001644,6.20E-12,1.000001651,6.32E-12,1.000001657,6.44E-12,1.000001664,6.56E-12,1.000001672,6.69E-12,1.000001681,6.82E-12,1.00000169,6.95E-12,1.000001698,7.08E-12
1.000002196,6.76E-12,1.000002209,6.88E-12,1.00000222,7.01E-12,1.000002231,7.13E-12,1.000002241,7.25E-12,1.000002251,7.37E-12,1.000002264,7.50E-12,1.000002278,7.63E-12,1.000002292,7.76E-12,1.000002303,7.89E-12
1.000002849,7.63E-12,1.000002866,7.77E-12,1.000002883,7.91E-12,1.000002898,8.05E-12,1.000002913,8.18E-12,1.000002926,8.32E-12,1.000002944,8.46E-12,1.000002965,8.61E-12,1.000002986,8.74E-12,1.000003001,8.88E-12
1.000003585,8.53E-12,1.000003609,8.69E-12,1.000003631,8.85E-12,1.000003652,9.00E-12,1.000003671,9.16E-12,1.00000369,9.32E-12,1.000003714,9.48E-12,1.000003742,9.65E-12,1.000003769,9.81E-12,1.00000379,9.97E-12
1.000004405,9.43E-12,1.000004436,9.61E-12,1.000004465,9.78E-12,1.000004491,9.96E-12,1.000004516,1.01E-11,1.00000454,1.03E-11,1.000004572,1.05E-11,1.000004608,1.07E-11,1.000004644,1.09E-11,1.000004671,1.11E-11
