3.1v,3.1i,3.2v,3.2i,3.3v,3.3i,3.4v,3.4i,3.5v,3.5i,3.6v,3.6i,3.7v,3.7i,3.8v,3.8i,3.9v,3.9i,4.0v,4.0i
1,7.77E-06,1,7.96E-06,1,8.15E-06,1,8.33E-06,1,8.51E-06,1,8.68E-06,1,8.84E-06,1,9.01E-06,1,9.16E-06,1,9.32E-06
1.000000004,7.33E-06,1.000000004,7.52E-06,1.000000004,7.71E-06,1.000000004,7.89E-06,1.000000004,8.07E-06,1.000000004,8.24E-06,1.000000004,8.41E-06,1.000000004,8.58E-06,1.000000004,8.74E-06,1.000000004,8.90E-06
1.000000014,6.91E-06,1.000000014,7.10E-06,1.000000014,7.29E-06,1.000000014,7.47E-06,1.000000014,7.65E-06,1.000000014,7.83E-06,1.000000014,8.00E-06,1.000000014,8.17E-06,1.000000014,8.33E-06,1.000000014,8.49E-06
1.000000032,6.51E-06,1.000000032,6.70E-06,1.000000032,6.89E-06,1.000000032,7.08E-06,1.000000032,7.26E-06,1.000000032,7.44E-06,1.000000032,7.61E-06,1.000000032,7.78E-06,1.000000032,7.95E-06,1.000000032,8.11E-06
1.000000089,5.77E-06,1.000000089,5.96E-06,1.000000089,6.15E-06,1.000000089,6.34E-06,1.000000089,6.52E-06,1.000000089,6.70E-06,1.000000089,6.88E-06,1.000000089,7.05E-06,1.000000089,7.22E-06,1.000000089,7.38E-06
1.000000165,5.17E-06,1.000000165,5.36E-06,1.000000165,5.55E-06,1.000000165,5.74E-06,1.000000165,5.92E-06,1.000000165,6.10E-06,1.000000165,6.27E-06,1.000000165,6.45E-06,1.000000175,6.55E-06,1.000000175,6.72E-06
1.000000308,4.44E-06,1.000000309,4.62E-06,1.00000031,4.80E-06,1.000000311,4.98E-06,1.000000311,5.16E-06,1.000000312,5.33E-06,1.000000313,5.50E-06,1.000000314,5.67E-06,1.00000029,5.94E-06,1.00000029,6.11E-06
1.000000495,3.81E-06,1.000000498,3.98E-06,1.0000005,4.16E-06,1.000000502,4.33E-06,1.000000503,4.50E-06,1.000000504,4.67E-06,1.000000507,4.83E-06,1.000000511,4.98E-06,1.000000433,5.39E-06,1.000000433,5.56E-06
1.000000725,3.27E-06,1.00000073,3.43E-06,1.000000735,3.59E-06,1.000000738,3.76E-06,1.000000741,3.92E-06,1.000000742,4.08E-06,1.000000747,4.23E-06,1.000000755,4.38E-06,1.000000604,4.89E-06,1.000000604,5.06E-06
1.000001,2.81E-06,1.000001008,2.96E-06,1.000001014,3.11E-06,1.00000102,3.26E-06,1.000001024,3.41E-06,1.000001027,3.57E-06,1.000001034,3.71E-06,1.000001046,3.85E-06,1.000000804,4.44E-06,1.000000804,4.60E-06
1.000001319,2.41E-06,1.00000133,2.55E-06,1.000001339,2.69E-06,1.000001347,2.83E-06,1.000001353,2.98E-06,1.000001357,3.12E-06,1.000001367,3.26E-06,1.000001384,3.38E-06,1.000001033,4.03E-06,1.000001033,4.18E-06
1.000001681,2.07E-06,1.000001696,2.20E-06,1.000001709,2.33E-06,1.000001719,2.46E-06,1.000001727,2.59E-06,1.000001732,2.73E-06,1.000001746,2.86E-06,1.00000177,2.98E-06,1.00000129,3.66E-06,1.00000129,3.81E-06
1.000002087,1.78E-06,1.000002107,1.90E-06,1.000002123,2.01E-06,1.000002136,2.14E-06,1.000002147,2.26E-06,1.000002154,2.39E-06,1.000002172,2.51E-06,1.000002203,2.62E-06,1.000001889,3.01E-06,1.000001889,3.15E-06
1.000002537,1.53E-06,1.000002561,1.63E-06,1.000002582,1.74E-06,1.000002599,1.86E-06,1.000002612,1.97E-06,1.000002621,2.09E-06,1.000002644,2.20E-06,1.000002682,2.30E-06,1.000002602,2.48E-06,1.000002602,2.60E-06
