5.1v,5.1i,5.2v,5.2i,5.3v,5.3i,5.4v,5.4i,5.5v,5.5i,5.6v,5.6i,5.7v,5.7i,5.8v,5.8i,5.9v,5.9i,6.0v,6.0i
1,3.21E-09,1,3.33E-09,1,3.45E-09,1,3.58E-09,1,3.70E-09,1,3.83E-09,1,3.96E-09,1,4.09E-09,1,4.23E-09,1,4.36E-09
1.000000004,9.81E-10,1.000000004,1.03E-09,1.000000004,1.09E-09,1.000000004,1.14E-09,1.000000004,1.20E-09,1.000000004,1.25E-09,1.000000004,1.31E-09,1.000000004,1.37E-09,1.000000004,1.44E-09,1.000000004,1.50E-09
1.000000014,3.02E-10,1.000000014,3.23E-10,1.000000014,3.44E-10,1.000000014,3.67E-10,1.000000014,3.90E-10,1.000000014,4.14E-10,1.000000014,4.39E-10,1.000000014,4.65E-10,1.000000014,4.92E-10,1.000000014,5.19E-10
1.000000032,9.32E-11,1.000000032,1.01E-10,1.000000032,1.09E-10,1.000000032,1.18E-10,1.000000032,1.27E-10,1.000000032,1.37E-10,1.000000032,1.47E-10,1.000000032,1.57E-10,1.000000032,1.68E-10,1.000000032,1.80E-10
1.000000089,-2.72E-11,1.000000089,-2.99E-11,1.000000089,-3.23E-11,1.000000089,-3.47E-11,1.000000089,-3.69E-11,1.000000089,-3.90E-11,1.000000089,-4.10E-11,1.000000089,-4.29E-11,1.000000089,-4.48E-11,1.000000089,-4.66E-11
1.000000175,2.34E-12,1.000000175,1.28E-12,1.000000175,2.43E-13,1.000000175,-7.83E-13,1.000000175,-1.81E-12,1.000000175,-2.82E-12,1.000000175,-3.85E-12,1.000000175,-4.92E-12,1.000000175,-6.04E-12,1.000000175,-7.20E-12
1.00000029,1.71E-11,1.00000029,1.79E-11,1.00000029,1.88E-11,1.00000029,1.97E-11,1.00000029,2.06E-11,1.00000029,2.15E-11,1.00000029,2.23E-11,1.00000029,2.32E-11,1.000000433,-3.47E-12,1.000000433,-4.25E-12
1.000000433,8.37E-12,1.000000433,9.06E-12,1.000000433,9.78E-12,1.000000433,1.05E-11,1.000000433,1.13E-11,1.000000433,1.20E-11,1.000000433,1.28E-11,1.000000433,1.36E-11,1.000000742,2.02E-12,1.000000744,1.92E-12
1.000000604,1.91E-12,1.000000604,1.98E-12,1.000000604,2.07E-12,1.000000604,2.17E-12,1.000000604,2.29E-12,1.000000604,2.42E-12,1.000000604,2.56E-12,1.000000604,2.72E-12,1.000001135,4.72E-12,1.00000114,4.81E-12
1.000000804,2.31E-12,1.000000804,2.24E-12,1.000000804,2.16E-12,1.000000804,2.09E-12,1.000000804,2.02E-12,1.000000804,1.95E-12,1.000000804,1.88E-12,1.000000804,1.80E-12,1.00000161,5.73E-12,1.00000162,5.85E-12
1.000001033,4.08E-12,1.000001033,4.11E-12,1.000001033,4.15E-12,1.000001033,4.18E-12,1.000001033,4.20E-12,1.000001033,4.22E-12,1.000001033,4.24E-12,1.000001033,4.25E-12,1.000002168,6.51E-12,1.000002183,6.63E-12
1.000001575,4.99E-12,1.000001575,5.08E-12,1.000001575,5.16E-12,1.000001575,5.25E-12,1.000001575,5.33E-12,1.000001575,5.41E-12,1.000001575,5.48E-12,1.000001575,5.56E-12,1.000002809,7.35E-12,1.000002829,7.49E-12
1.000002232,5.75E-12,1.000002232,5.85E-12,1.000002232,5.96E-12,1.000002232,6.06E-12,1.000002232,6.16E-12,1.000002232,6.27E-12,1.000002232,6.37E-12,1.000002232,6.47E-12,1.000003531,8.21E-12,1.000003559,8.37E-12
1.000003001,6.61E-12,1.000003001,6.74E-12,1.000003001,6.86E-12,1.000003001,6.98E-12,1.000003001,7.10E-12,1.000003001,7.22E-12,1.000003001,7.34E-12,1.000003001,7.46E-12,1.000004336,9.06E-12,1.000004372,9.25E-12
1.000003884,7.49E-12,1.000003884,7.63E-12,1.000003884,7.77E-12,1.000003884,7.90E-12,1.000003884,8.04E-12,1.000003884,8.18E-12,1.000003884,8.32E-12,1.000003884,8.46E-12,1.000005222,9.92E-12,1.000005267,1.01E-11
1.000004879,8.36E-12,1.000004879,8.51E-12,1.000004879,8.67E-12,1.000004879,8.82E-12,1.000004879,8.98E-12,1.000004879,9.13E-12,1.000004879,9.29E-12,1.000004879,9.44E-12,1.00000619,1.08E-11,1.000006245,1.10E-11
1.000005986,9.22E-12,1.000005986,9.39E-12,1.000005986,9.57E-12,1.000005986,9.74E-12,1.000005986,9.91E-12,1.000005986,1.01E-11,1.000005986,1.03E-11,1.000005986,1.04E-11,1.000008367,1.25E-11,1.000008445,1.27E-11
1.000007205,1.01E-11,1.000007205,1.03E-11,1.000007205,1.05E-11,1.000007205,1.06E-11,1.000007205,1.08E-11,1.000007205,1.10E-11,1.000007205,1.12E-11,1.000007205,1.14E-11,1.000010866,1.41E-11,1.000010971,1.44E-11
1.000008534,1.09E-11,1.000008534,1.11E-11,1.000008534,1.13E-11,1.000008534,1.15E-11,1.000008534,1.18E-11,1.000008534,1.20E-11,1.000008534,1.22E-11,1.000008534,1.24E-11,1.000013682,1.58E-11,1.000013817,1.61E-11
1.000009974,1.18E-11,1.000009974,1.20E-11,1.000009974,1.22E-11,1.000009974,1.24E-11,1.000009974,1.27E-11,1.000009974,1.29E-11,1.000009974,1.31E-11,1.000009974,1.33E-11,1.000016811,1.74E-11,1.00001698,1.78E-11
1.000013182,1.35E-11,1.000013182,1.37E-11,1.000013182,1.40E-11,1.000013182,1.42E-11,1.000013182,1.45E-11,1.000013182,1.47E-11,1.000013182,1.50E-11,1.000013182,1.53E-11,1.000020249,1.90E-11,1.000020456,1.94E-11
1.000016822,1.51E-11,1.000016822,1.54E-11,1.000016822,1.57E-11,1.000016822,1.60E-11,1.000016822,1.63E-11,1.000016822,1.66E-11,1.000016822,1.69E-11,1.000016822,1.71E-11,1.000023992,2.06E-11,1.000024239,2.11E-11
1.000020886,1.68E-11,1.000020886,1.71E-11,1.000020886,1.74E-11,1.000020886,1.77E-11,1.000020886,1.80E-11,1.000020886,1.84E-11,1.000020886,1.87E-11,1.000020886,1.90E-11,1.000028033,2.22E-11,1.000028324,2.26E-11
1.000025368,1.84E-11,1.000025368,1.87E-11,1.000025368,1.91E-11,1.000025368,1.94E-11,1.000025368,1.98E-11,1.000025368,2.01E-11,1.000025368,2.05E-11,1.000025368,2.08E-11,1.000032367,2.37E-11,1.000032706,2.42E-11
1.000030258,1.99E-11,1.000030258,2.03E-11,1.000030258,2.07E-11,1.000030258,2.11E-11,1.000030258,2.14E-11,1.000030258,2.18E-11,1.000030258,2.22E-11,1.000030258,2.26E-11,1.000041889,2.67E-11,1.000042331,2.72E-11
1.000035546,2.14E-11,1.000035546,2.19E-11,1.000035546,2.23E-11,1.000035546,2.27E-11,1.000035546,2.31E-11,1.000035546,2.35E-11,1.000035546,2.39E-11,1.000035546,2.43E-11,1.000052505,2.95E-11,1.000053062,3.01E-11
