1.1v,1.1i,1.2v,1.2i,1.3v,1.3i,1.4v,1.4i,1.5v,1.5i,1.6v,1.6i,1.7v,1.7i,1.8v,1.8i,1.9v,1.9i,2.0v,2.0i,,,,,
1.000027872,4.24E-12,1.000028582,4.83E-12,1.000025431,4.94E-12,1.000026003,5.35E-12,1.000026438,5.75E-12,1.000026951,6.16E-12,1.000027576,6.59E-12,1.000025599,6.73E-12,1.00002502,7.01E-12,1.000025577,7.43E-12,,,,,
1.000038829,5.10E-12,1.000039812,5.50E-12,1.000030628,5.18E-12,1.000031316,5.80E-12,1.000031837,6.24E-12,1.000032454,6.69E-12,1.000033205,7.15E-12,1.000031121,7.34E-12,1.000030576,7.67E-12,1.000031258,8.13E-12,,,,,
1.000050084,5.57E-12,1.000052705,6.10E-12,1.000042348,6.19E-12,1.000043294,6.60E-12,1.00004401,7.10E-12,1.000044857,7.62E-12,1.000045887,8.16E-12,1.000037142,7.70E-12,1.000036646,8.31E-12,1.000037464,8.81E-12,,,,,
1.000062581,6.03E-12,1.00006715,6.68E-12,1.000054339,6.75E-12,1.000056987,7.31E-12,1.00005792,7.87E-12,1.000059024,8.45E-12,1.000060367,9.05E-12,1.000050616,9.10E-12,1.000050267,9.44E-12,1.000051388,1.00E-11,,,,,
1.000076239,6.52E-12,1.000083028,7.25E-12,1.000067609,7.30E-12,1.000072272,7.99E-12,1.000073442,8.61E-12,1.000074826,9.24E-12,1.000076508,9.89E-12,1.000065891,9.97E-12,1.000065748,1.04E-11,1.000067206,1.11E-11,,,,,
1.000090967,6.97E-12,1.000100204,7.76E-12,1.000082065,7.89E-12,1.000089016,8.65E-12,1.000090436,9.32E-12,1.000092118,1.00E-11,1.00009416,1.07E-11,1.000082819,1.08E-11,1.000082935,1.14E-11,1.000084757,1.21E-11,,,,,
1.000106668,5.63E-12,1.000118537,8.21E-12,1.000097608,8.41E-12,1.000107071,9.24E-12,1.000108753,9.95E-12,1.000110743,1.07E-11,1.000113158,1.14E-11,1.000101238,1.16E-11,1.000101659,1.23E-11,1.000103862,1.30E-11,,,,,
1.00012324,7.51E-12,1.000137876,5.87E-12,1.00011413,6.95E-12,1.000126282,9.75E-12,1.00012823,1.05E-11,1.000130533,1.12E-11,1.000133328,1.20E-11,1.000120973,1.23E-11,1.000121735,1.30E-11,1.000124332,1.38E-11,,,,,
1.000140575,7.48E-12,1.000158064,8.57E-12,1.000149654,9.90E-12,1.000146482,7.20E-12,1.000148697,7.87E-12,1.000151314,8.54E-12,1.000154487,9.20E-12,1.000141838,9.59E-12,1.000142969,1.02E-11,1.000145962,1.08E-11,,,,,
1.000177089,7.49E-12,1.00017894,8.39E-12,1.000183795,9.17E-12,1.000189164,1.12E-11,1.000191892,9.66E-12,1.000195112,1.04E-11,1.000199007,1.11E-11,1.000186178,1.43E-11,1.000188093,1.51E-11,1.000191853,1.59E-11,,,,,
