0.1v,0.1i,0.2v,0.2i,0.3v,0.3i,0.4v,0.4i,0.5v,0.5i,0.6v,0.6i,0.7v,0.7i,0.8v,0.8i,0.9v,0.9i,1.0v,1.0i
1.573460648,0.001727947,1.573460648,0.001727947,1.580543305,0.002390805,1.575484077,0.002872887,1.54282934,0.002123384,1.576933348,0.003754861,1.615174022,0.004580704,1.512991866,0.001402278,1.482927968,6.63E-04,1.499422642,0.001115579
1.580918174,0.001747952,1.580918174,0.001747952,1.588995541,0.002398483,1.585174662,0.003003648,1.558041047,0.002728506,1.589329602,0.00406725,1.626462364,0.004240689,1.519864295,0.001655819,1.489019379,7.90E-04,1.506399826,0.001334936
1.588375701,0.001715214,1.588375701,0.001715214,1.597447777,0.002319966,1.594865248,0.003011653,1.571044406,0.003189313,1.600486231,0.004158905,1.637750706,0.003707228,1.526736724,0.001940065,1.49511079,9.39E-04,1.513377009,0.001585401
1.595833228,0.001633157,1.595833228,0.001633157,1.605900013,0.002162542,1.604555834,0.002888029,1.58274743,0.003484381,1.611642859,0.004042257,1.649039047,0.003051584,1.533609153,0.002247821,1.502164771,0.001133262,1.520354192,0.001867498
1.603290755,0.00151127,1.603290755,0.00151127,1.614352249,0.001944465,1.614246419,0.002644055,1.593280151,0.003601252,1.621683825,0.003756926,1.660327389,0.00236697,1.540481582,0.002578887,1.509218753,0.001357719,1.527331376,0.002182978
1.610748282,0.001363557,1.610748282,0.001363557,1.622804485,0.001691859,1.623937005,0.002310803,1.603812873,0.003550027,1.631724791,0.003331253,1.671615731,0.001744908,1.554226439,0.003281545,1.516272735,0.001613528,1.534308559,0.002525623
1.618205809,0.001205907,1.618205809,0.001205907,1.631256721,0.001433532,1.63362759,0.001933464,1.613292322,0.003353684,1.641765757,0.002815143,1.682904073,0.001252178,1.567971297,0.003991362,1.523326717,0.001903341,1.541285742,0.002895269
1.624917583,0.001067992,1.624917583,0.001067992,1.639708957,0.001194811,1.643318176,0.001561073,1.622771771,0.003034959,1.651806722,0.002271356,1.693063581,9.44E-04,1.581716155,0.004618913,1.530380698,0.002220626,1.555240109,0.003687608
1.63095818,9.55E-04,1.63095818,9.55E-04,1.64731597,0.001012382,1.652039703,0.001265134,1.63225122,0.002629711,1.661847688,0.001761753,1.702207138,7.69E-04,1.595461013,0.005058042,1.53743468,0.00256629,1.569194476,0.004507163
1.636394717,8.65E-04,1.636394717,8.65E-04,1.654162281,8.80E-04,1.659889077,0.001047971,1.641730669,0.002185608,1.671888654,0.001335239,1.710436339,6.74E-04,1.607831385,0.0052051,1.551542644,0.003314461,1.583148842,0.005267319
