8.1v,8.1i,8.2v,8.2i,8.3v,8.3i,8.4v,8.4i,8.5v,8.5i,8.6v,8.6i,8.7v,8.7i,8.8v,8.8i,8.9v,8.9i,9.0v,9.0i,,,,,
1,7.63E-09,1,7.81E-09,1,7.98E-09,1,8.16E-09,1,8.34E-09,1,8.52E-09,1,8.71E-09,1,8.89E-09,1,9.08E-09,1,9.27E-09,,,,,
1.000000004,3.19E-09,1.000000004,3.28E-09,1.000000004,3.38E-09,1.000000004,3.48E-09,1.000000004,3.58E-09,1.000000004,3.69E-09,1.000000004,3.79E-09,1.000000004,3.90E-09,1.000000004,4.00E-09,1.000000004,4.11E-09,,,,,
1.000000014,1.33E-09,1.000000014,1.38E-09,1.000000014,1.44E-09,1.000000014,1.49E-09,1.000000014,1.54E-09,1.000000014,1.60E-09,1.000000014,1.66E-09,1.000000014,1.71E-09,1.000000014,1.77E-09,1.000000014,1.83E-09,,,,,
1.000000032,5.60E-10,1.000000032,5.86E-10,1.000000032,6.12E-10,1.000000032,6.39E-10,1.000000032,6.67E-10,1.000000032,6.95E-10,1.000000032,7.25E-10,1.000000032,7.55E-10,1.000000032,7.86E-10,1.000000032,8.17E-10,,,,,
1.000000089,-6.17E-11,1.000000089,-6.09E-11,1.000000089,-5.98E-11,1.000000089,-5.85E-11,1.000000089,-5.71E-11,1.000000089,-5.54E-11,1.000000089,-5.35E-11,1.000000089,-5.13E-11,1.000000089,-4.89E-11,1.000000089,-4.63E-11,,,,,
1.000000175,-4.05E-11,1.000000175,-4.25E-11,1.000000175,-4.46E-11,1.000000175,-4.66E-11,1.000000175,-4.87E-11,1.000000175,-5.08E-11,1.000000175,-5.29E-11,1.000000175,-5.49E-11,1.000000175,-5.70E-11,1.000000175,-5.91E-11,,,,,
1.000000433,-3.67E-11,1.000000433,-3.90E-11,1.000000433,-4.15E-11,1.000000433,-4.39E-11,1.000000433,-4.65E-11,1.000000433,-4.91E-11,1.000000433,-5.18E-11,1.000000433,-5.45E-11,1.000000433,-5.75E-11,1.00000029,4.39E-11,,,,,
1.000000762,-4.77E-12,1.000000762,-5.36E-12,1.000000762,-5.98E-12,1.000000762,-6.61E-12,1.000000762,-7.27E-12,1.000000762,-7.96E-12,1.000000762,-8.67E-12,1.000000762,-1.03E-11,1.000000762,-1.09E-11,1.000000604,2.49E-11,,,,,
1.000001184,6.80E-12,1.000001184,6.89E-12,1.000001184,6.97E-12,1.000001184,7.05E-12,1.000001184,7.12E-12,1.000001184,7.19E-12,1.000001184,7.24E-12,1.000001184,6.99E-12,1.000001184,7.07E-12,1.000001033,-1.72E-12,,,,,
1.000001698,8.54E-12,1.000001698,8.69E-12,1.000001698,8.84E-12,1.000001698,9.00E-12,1.000001698,9.15E-12,1.000001698,9.30E-12,1.000001698,9.14E-12,1.000001698,9.31E-12,1.000001698,9.45E-12,1.000001575,3.73E-12,,,,,
