2.1v,2.1i,2.2v,2.2i,2.3v,2.3i,2.4v,2.4i,2.5v,2.5i,2.6v,2.6i,2.7v,2.7i,2.8v,2.8i,2.9v,2.9i,3.0v,3.0i
1.479905022,-0.008986461,1.509450833,-0.009608938,1.53982452,-0.006549787,1.545485849,-0.006051103,1.50760653,-0.011009899,1.497613296,-0.012293154,1.561780065,-0.004577368,1.492873784,-0.01360086,1.542071574,-0.007260558,1.529187832,-0.009436201
1.469180186,-0.007560768,1.49402038,-0.010308541,1.525113068,-0.008337655,1.531227852,-0.007835032,1.493744092,-0.011964656,1.485439497,-0.01258349,1.548904595,-0.006068124,1.480732145,-0.013713957,1.529951212,-0.009100437,1.517870438,-0.01131034
1.459622855,-0.005836254,1.480132971,-0.009722934,1.510401616,-0.009932542,1.516969854,-0.009615468,1.479881654,-0.011707828,1.473265697,-0.011714848,1.536029125,-0.007807329,1.473854917,-0.013200945,1.517830851,-0.011027172,1.506553044,-0.013074163
1.451092556,-0.004197339,1.475554822,-0.009218515,1.495690165,-0.010827725,1.503544109,-0.010933086,1.474460898,-0.011172883,1.462675129,-0.009936917,1.523153655,-0.009686402,1.466977689,-0.012290015,1.505710489,-0.012799664,1.494436454,-0.014505549
1.442562258,-0.002731657,1.470976672,-0.008590529,1.480978713,-0.010465285,1.490118365,-0.011443262,1.469040142,-0.01042393,1.453195534,-0.0077353,1.510278184,-0.011476035,1.461274923,-0.011234057,1.493984951,-0.014028047,1.482319864,-0.015027093
1.437408514,-0.002034911,1.466856338,-0.00792829,1.475910706,-0.009953788,1.478035195,-0.010842883,1.464161462,-0.009578387,1.444663898,-0.00557826,1.49780869,-0.012771443,1.456567636,-0.010182764,1.482259413,-0.014379809,1.470203274,-0.014233715
1.43225477,-0.001496132,1.463148037,-0.007268482,1.4708427,-0.009276589,1.473385415,-0.010304548,1.459836375,-0.008714179,1.436132262,-0.00360222,1.485339195,-0.013204019,1.452643625,-0.009208327,1.470533874,-0.013517364,1.465482863,-0.013516307
1.427826126,-0.001159124,1.459810566,-0.006636587,1.466281494,-0.008535755,1.468735634,-0.009621655,1.45611001,-0.007901436,1.430909265,-0.0026252,1.472869701,-0.012394733,1.449254946,-0.008318797,1.45998089,-0.011600383,1.460762452,-0.01260211
1.423840347,-9.42E-04,1.456806842,-0.006048478,1.462176408,-0.007781675,1.464550832,-0.008892388,1.452810695,-0.007148164,1.425686268,-0.00185898,1.462114123,-0.01057971,1.446261767,-0.00751394,1.450498301,-0.009140869,1.456514082,-0.011623009
1.420253145,-8.03E-04,1.454103491,-0.005512518,1.458543958,-0.007061988,1.46078451,-0.008159261,1.449864742,-0.006462873,1.421300396,-0.001385023,1.452532671,-0.008279256,1.443567906,-0.006787799,1.441963971,-0.006668574,1.452690549,-0.010636803
1.416665944,-7.04E-04,1.451670475,-0.005031601,1.455308266,-0.006394708,1.45739482,-0.00745241,1.447213385,-0.005846568,1.417353111,-0.001076099,1.443965235,-0.006003605,1.441143431,-0.00614196,1.433429641,-0.004346241,1.449249369,-0.009684698
1.413078742,-6.33E-04,1.449237458,-0.004562391,1.452396144,-0.005785449,1.454344099,-0.006791081,1.444827164,-0.005299804,1.413800555,-8.77E-04,1.435397798,-0.003891564,1.438961403,-0.005573493,1.427943204,-0.003111905,1.446152307,-0.008793208
1.409491541,-5.84E-04,1.447047744,-0.004150703,1.449775234,-0.005239015,1.45159845,-0.006185864,1.442679564,-0.004819493,1.410603255,-7.50E-04,1.430029712,-0.002811001,1.436779376,-0.005027434,1.422456767,-0.002138499,1.443364952,-0.007977058
1.40590434,-5.48E-04,1.444858029,-0.003756638,1.447416415,-0.004755299,1.449127366,-0.005640965,1.440531965,-0.004358867,1.407405954,-6.57E-04,1.424661626,-0.001962262,1.434815551,-0.004554689,1.417963066,-0.001551554,1.440856332,-0.007242234
1.402317138,-5.22E-04,1.442887286,-0.0034165,1.445293478,-0.004331114,1.446656282,-0.005107784,1.438599126,-0.003960573,1.404208654,-5.92E-04,1.420211222,-0.001444923,1.432851726,-0.004106884,1.414030112,-0.001179232,1.438598574,-0.006588696
1.398729937,-5.01E-04,1.440916543,-0.003095365,1.443170541,-0.003924944,1.444432307,-0.004638866,1.436666286,-0.003583656,1.401011354,-5.45E-04,1.416253936,-0.001112193,1.431084284,-0.003723821,1.41056992,-9.44E-04,1.436340816,-0.005954954
1.395142735,-4.85E-04,1.439142874,-0.002821407,1.441259897,-0.003574159,1.442208331,-0.004189103,1.434926731,-0.003261434,1.397814053,-5.11E-04,1.412732265,-9.00E-04,1.429316841,-0.003364546,1.407455748,-7.91E-04,1.434308833,-0.005401712
1.391555534,-4.69E-04,1.437369205,-0.002565222,1.439349254,-0.003242538,1.440206753,-0.003800279,1.433187176,-0.002959333,1.394616753,-4.87E-04,1.40956276,-7.64E-04,1.427726143,-0.003059785,1.404341576,-6.80E-04,1.432276851,-0.004873664
1.387968332,-4.57E-04,1.435595536,-0.002327324,1.43743861,-0.002931505,1.438205175,-0.003432705,1.43144762,-0.002678019,1.391419452,-4.67E-04,1.406393256,-6.65E-04,1.426135445,-0.002775834,1.401227404,-6.00E-04,1.430448067,-0.004418925
1.380793929,-4.37E-04,1.432048198,-0.001879118,1.433617323,-0.002338564,1.436403755,-0.00311884,1.427968509,-0.002147076,1.388222152,-4.52E-04,1.403223752,-5.95E-04,1.424544747,-0.002512836,1.398113232,-5.44E-04,1.428619283,-0.003989802
1.373619526,-4.22E-04,1.428855594,-0.001538131,1.430178165,-0.001881028,1.434602335,-0.002825134,1.424837309,-0.001734717,1.385024851,-4.38E-04,1.400054248,-5.45E-04,1.421363351,-0.002020392,1.39499906,-5.05E-04,1.426973377,-0.003623834
1.366445123,-4.11E-04,1.42566299,-0.001261574,1.426739007,-0.001506184,1.432800915,-0.002552277,1.42170611,-0.001405485,1.381827551,-4.28E-04,1.396884744,-5.09E-04,1.418500094,-0.001642375,1.391884888,-4.76E-04,1.425327472,-0.003281188
1.35927072,-4.01E-04,1.422470386,-0.001045386,1.423299849,-0.001211501,1.429198074,-0.002038254,1.418760523,-0.001159561,1.37543295,-4.09E-04,1.39371524,-4.83E-04,1.415636838,-0.0013361,1.388770715,-4.55E-04,1.423681566,-0.002962394
1.352096317,-3.94E-04,1.419277782,-8.82E-04,1.419860691,-9.88E-04,1.425955518,-0.001647472,1.415814935,-9.68E-04,1.369038349,-3.95E-04,1.390545735,-4.65E-04,1.412773581,-0.001094976,1.385656543,-4.38E-04,1.420389755,-0.002362392
1.344921915,-3.87E-04,1.416085178,-7.61E-04,1.416421532,-8.25E-04,1.422712962,-0.001331162,1.412869348,-8.23E-04,1.362643748,-3.85E-04,1.387376231,-4.49E-04,1.409910325,-9.10E-04,1.382542371,-4.24E-04,1.417427125,-0.001896114
1.337747512,-3.81E-04,1.412892574,-6.74E-04,1.412982374,-7.09E-04,1.419470405,-0.001084837,1.409923761,-7.16E-04,1.356249147,-3.76E-04,1.384206727,-4.36E-04,1.407047068,-7.72E-04,1.379428199,-4.13E-04,1.414464495,-0.001521604
1.323398706,-3.72E-04,1.40969997,-6.12E-04,1.409543216,-6.29E-04,1.416227849,-8.99E-04,1.406978174,-6.38E-04,1.349854546,-3.69E-04,1.377867719,-4.13E-04,1.404183811,-6.71E-04,1.373199855,-3.94E-04,1.411694205,-0.00124191
1.3090499,-3.65E-04,1.406507366,-5.68E-04,1.406104058,-5.74E-04,1.412985293,-7.64E-04,1.404032587,-5.82E-04,1.343459946,-3.63E-04,1.37152871,-3.97E-04,1.401320555,-5.98E-04,1.36697151,-3.81E-04,1.408923914,-0.001022549
1.294701094,-3.59E-04,1.403314762,-5.36E-04,1.4026649,-5.36E-04,1.409742736,-6.68E-04,1.401087,-5.41E-04,1.330670744,-3.52E-04,1.365189702,-3.85E-04,1.398457298,-5.46E-04,1.360743166,-3.70E-04,1.406153624,-8.55E-04
