0.1v,0.1i,0.2v,0.2i
1.856274487,24.03280604,0,0
1.866274487,25.79455069,0,0
1.876274487,27.56309133,0,0
1.886274487,29.30866033,0,0
1.896274487,30.9957743,0,0
1.906274487,32.58328014,0,0
1.916274487,34.02476796,0,0
1.926274487,35.26945741,0,0
1.936274487,36.26365731,0,0
1.946274487,36.95288142,0,0
1.956274487,37.28466258,0,0
1.966274487,37.21203801,0,0
1.976274487,36.69758624,0,0
1.986274487,35.71777077,0,0
1.996274487,34.26721102,0,0
1.999499001,33.69482276,0,0
1.999501,33.14766154,0,0
1.998501,32.25887052,0,0
1.996501,30.56022612,0,0
1.992500999,27.48360127,0,0
1.988500999,24.78395632,0,0
1.980501,20.29867772,0,0
1.972501,16.7897392,0,0
1.964501,14.01641566,0,0
1.956501,11.8007517,0,0
1.948500999,10.01201739,0,0
1.940500999,8.553700647,0,0
1.932500999,7.35389021,0,0
1.924501,6.358425707,0,0
1.916501,5.526073011,0,0
1.906501,4.666320067,0,0
1.896501,3.965692418,0,0
1.886501,3.389570495,0,0
1.876501,2.911828297,0,0
1.866501,2.512581947,0,0
1.856501,2.176540041,0,0
1.846501,1.891809673,0,0
1.836500999,1.649037525,0,0
1.826501,1.440781319,0,0
1.816501,1.261045839,0,0
1.806500999,1.104933947,0,0
1.796501,0.968379848,0,0
1.786501,0.847939328,0,0
1.776501,0.740618901,0,0
1.766501,0.643729866,0,0
1.756500999,0.554758177,0,0
1.746501,0.471236318,0,0
1.736501,0.390611005,0,0
1.726501,0.310097652,0,0
1.716501,0.226508763,0,0
1.706501,0.136040743,0,0
1.696501,0.03401255,0,0
1.686500999,-0.085471973,0,0
1.676501,-0.22995586,0,0
1.666501,-0.409191536,0,0
1.656501,-0.635873845,0,0
1.646500999,-0.926583448,0,0
1.636501,-1.30300254,0,0
1.626501,-1.79346287,0,0
1.616501,-2.434893492,0,0
1.606501,-3.275219557,0,0
1.596501,-4.376227586,0,0
1.586501,-5.816822708,0,0
1.576501,-7.696427038,0,0
1.566501,-10.1379392,0,0
1.556501,-13.28911016,0,0
1.546501,-17.32027346,0,0
1.536501,-22.4149832,0,0
1.526501,-28.74826753,0,0
1.516501,-36.44520904,0,0
1.506500999,-45.51147094,0,0
1.496501,-55.72981173,0,0
1.486500999,-66.52709691,0,0
1.476501,-76.84113477,0,0
1.470348674,-82.23512937,0,0
1.466249269,-85.12970841,0,0
1.462149864,-87.29408506,0,0
1.458050459,-88.57699699,0,0
1.454360995,-88.85578803,0,0
1.45067153,-88.21571525,0,0
1.446982066,-86.59178545,0,0
1.443292602,-83.9494053,0,0
1.439603137,-80.29227828,0,0
1.435913673,-75.66878756,0,0
1.432224208,-70.17579097,0,0
1.428534744,-63.95875618,0,0
1.424845279,-57.20730322,0,0
1.421155815,-50.14563982,0,0
1.417835297,-43.72654104,0,0
1.414943355,-38.23698408,0,0
1.412340608,-33.47806492,0,0
1.409999302,-29.40943365,0,0
1.407904211,-25.97907793,0,0
1.406018629,-23.08473407,0,0
1.404321605,-20.64877782,0,0
1.402624581,-18.37870202,0,0
1.401097259,-16.48237857,0,0
1.399569938,-14.72499425,0,0
1.398042616,-13.10566285,0,0
1.396515294,-11.62204684,0,0
1.394987973,-10.27039205,0,0
1.393460651,-9.045675356,0,0
1.39193333,-7.94180281,0,0
1.390406008,-6.951830805,0,0
1.388878687,-6.068195276,0,0
1.387351365,-5.28293726,0,0
1.385824044,-4.587916109,0,0
1.384296722,-3.9750031,0,0
1.3827694,-3.436250051,0,0
1.381242079,-2.964029188,0,0
1.379714757,-2.551142046,0,0
1.378187436,-2.190897471,0,0
1.376660114,-1.877160007,0,0
1.375132793,-1.604371163,0,0
1.373605471,-1.367547652,0,0
1.37207815,-1.162260841,0,0
1.370550828,-0.98460193,0,0
1.369023506,-0.83113813,0,0
1.367496185,-0.698863148,0,0
1.365968863,-0.585146653,0,0
1.364441542,-0.487685117,0,0
1.36291422,-0.404456108,0,0
1.361386899,-0.333677596,0,0
1.359859577,-0.273773493,0,0
1.358332256,-0.223344156,0,0
1.356804934,-0.181142705,0,0
1.355277612,-0.146056145,0,0
1.353750291,-0.117091058,0,0
1.352222969,-0.093359475,0,0
1.350695648,-0.074072106,0,0
1.349168326,-0.058529447,0,0
1.347641005,-0.046115159,0,0
1.346113683,-0.036289796,0,0
1.344586362,-0.028585328,0,0
1.34305904,-0.022599817,0,0
1.341531718,-0.017991604,0,0
1.340004397,-0.014473654,0,0
1.338477075,-0.01180721,0,0
1.336949754,-0.009796894,0,0
1.333895111,-0.006954226,0,0
1.330840468,-0.00534764,0,0
1.327785824,-0.004445015,0,0
1.324731181,-0.003891278,0,0
1.321676538,-0.00348844,0,0
1.315567252,-0.002777861,0,0
1.305567252,-0.002391186,0,0
1.295567252,-0.001743251,0,0
1.285567252,-0.001286422,0,0
1.275567252,-8.37E-04,0,0
1.265567252,-6.77E-04,0,0
1.255567252,-5.78E-04,0,0
1.245567252,-5.10E-04,0,0
1.235567252,-4.65E-04,0,0
1.225567252,-4.33E-04,0,0
1.215567252,-4.12E-04,0,0
1.205567252,-3.98E-04,0,0
1.195567252,-3.88E-04,0,0
1.185567252,-3.81E-04,0,0
1.175567252,-3.77E-04,0,0
1.165567252,-3.74E-04,0,0
1.155567252,-3.72E-04,0,0
1.145567252,-3.71E-04,0,0
1.135567252,-3.70E-04,0,0
1.125567252,-3.69E-04,0,0
1.115567252,-3.70E-04,0,0
1.105567252,-3.72E-04,0,0
