7.1v,7.1i,7.2v,7.2i,7.3v,7.3i,7.4v,7.4i,7.5v,7.5i,7.6v,7.6i,7.7v,7.7i,7.8v,7.8i,7.9v,7.9i,8.0v,8.0i,,,,,
1.000030769,2.78E-11,1.000030769,2.81E-11,1.000030769,2.85E-11,1.000030769,2.89E-11,1.000030769,2.93E-11,1.000030769,2.97E-11,1.000030769,3.01E-11,1.000030769,3.04E-11,1.000030769,3.08E-11,1.000030769,3.12E-11,,,,,
1.000035546,2.97E-11,1.000035546,3.01E-11,1.000035546,3.05E-11,1.000035546,3.09E-11,1.000035546,3.13E-11,1.000035546,3.17E-11,1.000035546,3.21E-11,1.000035546,3.25E-11,1.000035546,3.29E-11,1.000035546,3.34E-11,,,,,
1.000046037,3.34E-11,1.000046037,3.38E-11,1.000046037,3.43E-11,1.000046037,3.48E-11,1.000046037,3.52E-11,1.000046037,3.57E-11,1.000046037,3.62E-11,1.000046037,3.66E-11,1.000046037,3.71E-11,1.000046037,3.75E-11,,,,,
1.000057721,3.69E-11,1.000057721,3.74E-11,1.000057721,3.79E-11,1.000057721,3.84E-11,1.000057721,3.89E-11,1.000057721,3.94E-11,1.000057721,3.99E-11,1.000057721,4.05E-11,1.000057721,4.10E-11,1.000057721,4.15E-11,,,,,
1.000070525,4.01E-11,1.000070525,4.07E-11,1.000070525,4.12E-11,1.000070525,4.18E-11,1.000070525,4.24E-11,1.000070525,4.29E-11,1.000070525,4.35E-11,1.000070525,4.40E-11,1.000070525,4.46E-11,1.000070525,4.51E-11,,,,,
1.000084369,4.31E-11,1.000084369,4.37E-11,1.000084369,4.43E-11,1.000084369,4.50E-11,1.000084369,4.56E-11,1.000084369,4.62E-11,1.000084369,4.68E-11,1.000084369,4.74E-11,1.000084369,4.80E-11,1.000084369,4.86E-11,,,,,
1.000099167,4.59E-11,1.000099167,4.66E-11,1.000099167,4.72E-11,1.000099167,4.78E-11,1.000099167,4.85E-11,1.000099167,4.91E-11,1.000099167,4.98E-11,1.000099167,5.04E-11,1.000099167,5.10E-11,1.000099167,5.17E-11,,,,,
1.000114828,4.82E-11,1.000114828,4.89E-11,1.000114828,4.96E-11,1.000114828,5.02E-11,1.000114828,5.09E-11,1.000114828,5.16E-11,1.000114828,5.25E-11,1.000114828,5.31E-11,1.000114828,5.38E-11,1.000114828,5.45E-11,,,,,
1.000148356,5.27E-11,1.000148356,5.34E-11,1.000148356,5.41E-11,1.000148356,5.49E-11,1.000148356,5.56E-11,1.000148356,5.64E-11,1.000148356,5.71E-11,1.000148356,5.78E-11,1.000148356,5.86E-11,1.000148356,5.93E-11,,,,,
1.000184148,5.55E-11,1.000184148,5.63E-11,1.000184148,5.71E-11,1.000184148,5.78E-11,1.000184148,5.86E-11,1.000184148,5.94E-11,1.000184148,6.02E-11,1.000184148,6.09E-11,1.000184148,6.17E-11,1.000184148,6.25E-11,,,,,
1.000221373,5.71E-11,1.000221373,5.79E-11,1.000221373,5.87E-11,1.000221373,5.95E-11,1.000221373,6.03E-11,1.000221373,6.11E-11,1.000221373,6.19E-11,1.000221373,6.27E-11,1.000221373,6.35E-11,1.000221373,6.43E-11,,,,,
1.000259203,5.57E-11,1.000259203,5.65E-11,1.000259203,5.73E-11,1.000259203,5.81E-11,1.000259203,5.89E-11,1.000259203,5.97E-11,1.000259203,6.05E-11,1.000259203,6.13E-11,1.000259203,6.21E-11,1.000259203,6.29E-11,,,,,
1.000296855,5.47E-11,1.000296855,5.55E-11,1.000296855,5.63E-11,1.000296855,5.71E-11,1.000296855,5.79E-11,1.000296855,5.87E-11,1.000296855,5.95E-11,1.000296855,6.03E-11,1.000296855,6.11E-11,1.000296855,6.19E-11,,,,,
1.000333633,5.34E-11,1.000333633,5.41E-11,1.000333633,5.49E-11,1.000333633,5.57E-11,1.000333633,5.65E-11,1.000333633,5.72E-11,1.000333633,5.80E-11,1.000333633,5.88E-11,1.000333633,5.96E-11,1.000333633,6.03E-11,,,,,
1.0004025,4.52E-11,1.0004025,4.59E-11,1.0004025,4.66E-11,1.0004025,4.73E-11,1.0004025,4.80E-11,1.0004025,4.87E-11,1.0004025,5.39E-11,1.0004025,5.46E-11,1.0004025,5.53E-11,1.0004025,5.61E-11,,,,,
1.000463856,4.02E-11,1.000463856,4.08E-11,1.000463856,4.14E-11,1.000463856,4.21E-11,1.000463856,4.27E-11,1.000463856,4.33E-11,1.000463856,4.46E-11,1.000463856,4.52E-11,1.000463856,4.58E-11,1.000463856,4.64E-11,,,,,
1.000520508,4.86E-11,1.000520508,4.92E-11,1.000520508,4.98E-11,1.000520508,5.03E-11,1.000520508,5.09E-11,1.000520508,5.15E-11,1.000520508,5.16E-11,1.000520508,5.22E-11,1.000520508,5.28E-11,1.000520508,5.34E-11,,,,,
1.000576758,5.55E-11,1.000576758,5.61E-11,1.000576758,5.67E-11,1.000576758,5.73E-11,1.000576758,5.79E-11,1.000576758,5.85E-11,1.000576758,5.91E-11,1.000576758,5.97E-11,1.000576758,6.03E-11,1.000576758,6.09E-11,,,,,
1.000633008,4.53E-11,1.000633008,4.59E-11,1.000633008,4.65E-11,1.000633008,4.72E-11,1.000633008,4.78E-11,1.000633008,4.84E-11,1.000633008,4.91E-11,1.000633008,4.97E-11,1.000633008,5.03E-11,1.000633008,5.09E-11,,,,,
1.000689258,4.24E-11,1.000689258,4.30E-11,1.000689258,4.36E-11,1.000689258,4.42E-11,1.000689258,4.48E-11,1.000689258,4.54E-11,1.000689258,4.60E-11,1.000689258,4.66E-11,1.000689258,4.73E-11,1.000689258,4.79E-11,,,,,
1.000745508,4.45E-11,1.000745508,4.51E-11,1.000745508,4.57E-11,1.000745508,4.63E-11,1.000745508,4.69E-11,1.000745508,4.75E-11,1.000745508,4.80E-11,1.000745508,4.86E-11,1.000745508,4.92E-11,1.000745508,4.98E-11,,,,,
1.000858008,4.45E-11,1.000858008,4.51E-11,1.000858008,4.57E-11,1.000858008,4.63E-11,1.000858008,4.69E-11,1.000858008,4.75E-11,1.000858008,4.81E-11,1.000858008,4.87E-11,1.000858008,4.93E-11,1.000858008,5.00E-11,,,,,
1.000959258,4.38E-11,1.000959258,4.44E-11,1.000959258,4.50E-11,1.000959258,4.56E-11,1.000959258,4.62E-11,1.000959258,4.68E-11,1.000970508,4.74E-11,1.000970508,4.81E-11,1.000970508,4.87E-11,1.000970508,4.93E-11,,,,,
1.001060508,4.40E-11,1.001060508,4.46E-11,1.001060508,4.52E-11,1.001060508,4.59E-11,1.001060508,4.65E-11,1.001060508,4.71E-11,1.001083008,4.77E-11,1.001083008,4.84E-11,1.001083008,4.90E-11,1.001083008,4.96E-11,,,,,
1.001161758,4.43E-11,1.001161758,4.49E-11,1.001161758,4.55E-11,1.001161758,4.62E-11,1.001161758,4.68E-11,1.001161758,4.74E-11,1.001195508,4.81E-11,1.001195508,4.87E-11,1.001195508,4.93E-11,1.001195508,4.99E-11,,,,,
1.001263008,4.44E-11,1.001263008,4.51E-11,1.001263008,4.57E-11,1.001263008,4.63E-11,1.001263008,4.69E-11,1.001263008,4.75E-11,1.001308008,4.83E-11,1.001308008,4.89E-11,1.001308008,4.95E-11,1.001308008,5.01E-11,,,,,
1.001364258,4.46E-11,1.001364258,4.52E-11,1.001364258,4.58E-11,1.001364258,4.65E-11,1.001364258,4.71E-11,1.001364258,4.77E-11,1.001420508,4.85E-11,1.001420508,4.91E-11,1.001420508,4.97E-11,1.001420508,5.03E-11,,,,,
1.001465508,4.48E-11,1.001465508,4.54E-11,1.001465508,4.60E-11,1.001465508,4.67E-11,1.001465508,4.73E-11,1.001465508,4.79E-11,1.001533008,4.87E-11,1.001533008,4.93E-11,1.001533008,5.00E-11,1.001533008,5.06E-11,,,,,
1.001566758,4.50E-11,1.001566758,4.57E-11,1.001566758,4.63E-11,1.001566758,4.69E-11,1.001566758,4.75E-11,1.001566758,4.82E-11,1.001645508,4.89E-11,1.001645508,4.95E-11,1.001645508,5.02E-11,1.001645508,5.08E-11,,,,,
1.001769258,4.54E-11,1.001769258,4.60E-11,1.001769258,4.66E-11,1.001769258,4.73E-11,1.001769258,4.79E-11,1.001769258,4.85E-11,1.001758008,4.91E-11,1.001758008,4.98E-11,1.001758008,5.04E-11,1.001758008,5.10E-11,,,,,
1.001951508,4.57E-11,1.001951508,4.63E-11,1.001951508,4.70E-11,1.001951508,4.76E-11,1.001951508,4.82E-11,1.001951508,4.89E-11,1.001983008,4.96E-11,1.001983008,5.02E-11,1.001983008,5.08E-11,1.001983008,5.15E-11,,,,,
1.002133758,4.60E-11,1.002133758,4.67E-11,1.002133758,4.73E-11,1.002133758,4.79E-11,1.002133758,4.86E-11,1.002133758,4.92E-11,1.002185508,5.00E-11,1.002185508,5.06E-11,1.002185508,5.13E-11,1.002185508,5.19E-11,,,,,
1.002316008,4.64E-11,1.002316008,4.70E-11,1.002316008,4.76E-11,1.002316008,4.83E-11,1.002316008,4.89E-11,1.002316008,4.96E-11,1.002388008,5.04E-11,1.002388008,5.10E-11,1.002388008,5.17E-11,1.002388008,5.23E-11,,,,,
1.002498258,4.69E-11,1.002498258,4.73E-11,1.002498258,4.80E-11,1.002498258,4.86E-11,1.002498258,4.93E-11,1.002498258,4.99E-11,1.002590508,5.08E-11,1.002590508,5.14E-11,1.002590508,5.21E-11,1.002590508,5.28E-11,,,,,
1.002680508,4.71E-11,1.002680508,4.79E-11,1.002680508,4.85E-11,1.002680508,4.92E-11,1.002680508,4.98E-11,1.002680508,5.05E-11,1.002793008,5.15E-11,1.002793008,5.21E-11,1.002793008,5.28E-11,1.002793008,5.34E-11,,,,,
1.002862758,4.74E-11,1.003045008,4.85E-11,1.003045008,4.91E-11,1.003045008,4.98E-11,1.003045008,5.05E-11,1.003045008,5.11E-11,1.002995508,5.17E-11,1.002995508,5.23E-11,1.002995508,5.30E-11,1.002995508,5.36E-11,,,,,
1.003227258,4.81E-11,1.003373058,4.91E-11,1.003373058,4.98E-11,1.003373058,5.04E-11,1.003373058,5.11E-11,1.003373058,5.18E-11,1.003198008,5.21E-11,1.003198008,5.28E-11,1.003198008,5.34E-11,1.003198008,5.41E-11,,,,,
1.003591758,4.89E-11,1.003701108,4.98E-11,1.003701108,5.05E-11,1.003701108,5.12E-11,1.003701108,5.18E-11,1.003701108,5.25E-11,1.003603008,5.30E-11,1.003603008,5.37E-11,1.003603008,5.43E-11,1.003603008,5.50E-11,,,,,
1.003956258,4.97E-11,1.004029158,5.16E-11,1.004029158,5.23E-11,1.004029158,5.18E-11,1.004029158,5.25E-11,1.004029158,5.32E-11,1.004008008,5.56E-11,1.004008008,5.63E-11,1.004008008,5.53E-11,1.004008008,5.60E-11,,,,,
1.004320758,5.19E-11,1.004357208,5.13E-11,1.004357208,5.20E-11,1.004357208,5.36E-11,1.004357208,5.43E-11,1.004357208,5.50E-11,1.004413008,5.51E-11,1.004413008,5.58E-11,1.004413008,5.63E-11,1.004413008,5.70E-11,,,,,
1.004685258,5.14E-11,1.004685258,5.20E-11,1.004685258,5.27E-11,1.005013308,5.45E-11,1.005013308,5.52E-11,1.005013308,5.60E-11,1.004818008,5.65E-11,1.004818008,5.73E-11,1.004818008,5.93E-11,1.004818008,6.01E-11,,,,,
1.005049758,5.22E-11,1.005341358,5.36E-11,1.005341358,5.44E-11,1.005669408,6.22E-11,1.005669408,6.29E-11,1.005603798,6.22E-11,1.005628008,5.86E-11,1.005628008,5.93E-11,1.005223008,5.85E-11,1.005223008,5.92E-11,,,,,
1.005778758,5.41E-11,1.005997458,6.28E-11,1.005997458,6.36E-11,1.006325508,5.91E-11,1.006325508,5.98E-11,1.006784778,5.87E-11,1.006438008,1.43E-10,1.006357008,7.24E-11,1.005628008,5.96E-11,1.005628008,6.03E-11,,,,,
1.006507758,6.64E-11,1.007309658,6.34E-11,1.007309658,6.42E-11,1.006981608,6.44E-11,1.006981608,6.52E-11,1.007965758,2.53E-10,1.007248008,7.30E-10,1.007815008,6.21E-11,1.006438008,6.19E-11,1.006438008,6.27E-11,,,,,
1.007965758,6.64E-11,1.008621858,3.03E-10,1.008621858,3.04E-10,1.008293808,6.72E-11,1.008293808,6.80E-11,1.009146738,1.57E-09,1.008868008,3.41E-10,1.009273008,3.75E-10,1.007248008,7.88E-11,1.007248008,7.96E-11,,,,,
