1v,1i,2v,2i,3v,3i,4v,4i,5v,5i,6v,6i,7v,7i,8v,8i,9v,9i,10v,10i,,,,,
1.000027193,3.84E-12,1.000025577,7.43E-12,1.000028724,1.16E-11,1.000024209,1.42E-11,1.000025368,1.80E-11,1.000032706,2.42E-11,1.000035546,2.93E-11,1.000035546,3.34E-11,1.000038337,3.88E-11,1.000041223,4.45E-11,,,,,
1.000037887,4.62E-12,1.000031258,8.13E-12,1.000035146,1.27E-11,1.000028997,1.54E-11,1.000030258,1.95E-11,1.000042331,2.72E-11,1.000046037,3.29E-11,1.000046037,3.75E-11,1.000044204,4.14E-11,1.000047278,4.73E-11,,,,,
1.000048877,5.03E-12,1.000037464,8.81E-12,1.000042159,1.37E-11,1.000034187,1.66E-11,1.000035546,2.10E-11,1.000053062,3.01E-11,1.000057721,3.64E-11,1.000057721,4.15E-11,1.000057042,4.64E-11,1.000060473,5.28E-11,,,,,
1.000061087,5.44E-12,1.000051388,1.00E-11,1.000057873,1.58E-11,1.00004573,1.89E-11,1.000047278,2.39E-11,1.000064836,3.28E-11,1.000070525,3.96E-11,1.000070525,4.51E-11,1.000071268,5.10E-11,1.000075028,5.78E-11,,,,,
1.000074437,5.90E-12,1.000067206,1.11E-11,1.000075681,1.74E-11,1.000058747,2.11E-11,1.000060473,2.66E-11,1.000077586,3.53E-11,1.000084369,4.25E-11,1.000084369,4.86E-11,1.000086771,5.52E-11,1.000090833,6.24E-11,,,,,
1.000088841,6.30E-12,1.000084757,1.21E-11,1.000095377,1.88E-11,1.000073138,2.31E-11,1.000075028,2.91E-11,1.000091242,3.75E-11,1.000099167,4.53E-11,1.000099167,5.17E-11,1.000103435,5.90E-11,1.000107767,6.65E-11,,,,,
1.000104207,5.01E-12,1.000103862,1.30E-11,1.000116733,2.02E-11,1.000088793,2.47E-11,1.000090833,3.14E-11,1.000105726,3.96E-11,1.000114828,4.75E-11,1.000114828,5.45E-11,1.000121132,6.24E-11,1.000125702,7.01E-11,,,,,
1.000120437,6.78E-12,1.000124332,1.38E-11,1.000139506,2.14E-11,1.000105593,2.63E-11,1.000107767,3.32E-11,1.000136855,4.35E-11,1.000148356,5.19E-11,1.000148356,5.93E-11,1.000139729,6.53E-11,1.000144504,7.32E-11,,,,,
1.000137429,6.74E-12,1.000145962,1.08E-11,1.000163438,2.24E-11,1.00012341,2.78E-11,1.000125702,3.49E-11,1.000170289,4.49E-11,1.000184148,5.47E-11,1.000184148,6.25E-11,1.00015909,6.74E-11,1.000164033,7.55E-11,,,,,
1.000173272,6.77E-12,1.000191853,1.59E-11,1.000188265,1.82E-11,1.000161557,2.93E-11,1.000164033,3.82E-11,1.000205314,4.61E-11,1.000221373,5.63E-11,1.000221373,6.43E-11,1.000199532,7.15E-11,1.000204705,7.97E-11,,,,,
1.000207047,6.79E-12,1.000234962,1.42E-11,1.000239534,2.09E-11,1.000202116,2.97E-11,1.000204705,3.79E-11,1.000241207,4.69E-11,1.000259203,5.49E-11,1.000259203,6.29E-11,1.000241314,7.29E-11,1.000246575,8.10E-11,,,,,
1.000241595,6.72E-12,1.000278492,1.28E-11,1.000291225,2.06E-11,1.000243944,2.97E-11,1.000246575,3.77E-11,1.000277269,4.68E-11,1.000296855,5.39E-11,1.000296855,6.19E-11,1.000283325,7.24E-11,1.000288541,8.03E-11,,,,,
1.000276291,6.77E-12,1.000321301,1.29E-11,1.000341478,1.84E-11,1.000285935,2.95E-11,1.000288541,3.75E-11,1.000312854,4.59E-11,1.000333633,5.26E-11,1.000333633,6.03E-11,1.000324554,6.81E-11,1.000329609,7.56E-11,,,,,
1.000310561,6.73E-12,1.000362443,1.27E-11,1.000388878,1.78E-11,1.000327085,2.88E-11,1.000329609,3.65E-11,1.000380496,3.90E-11,1.0004025,4.45E-11,1.0004025,5.61E-11,1.000364168,6.48E-11,1.000368974,7.18E-11,,,,,
1.000343904,-2.67E-12,1.000401263,1.25E-11,1.000432703,1.80E-11,1.000366575,2.77E-11,1.000368974,3.50E-11,1.000441474,3.35E-11,1.000463856,3.96E-11,1.000463856,4.64E-11,1.000436618,5.88E-11,1.000440833,6.48E-11,,,,,
1.000406382,1.64E-12,1.000437508,7.59E-12,1.000473198,1.92E-11,1.000403854,1.61E-11,1.000440833,2.82E-11,1.000496589,3.72E-11,1.000520508,4.80E-11,1.000520508,5.34E-11,1.000500977,5.50E-11,1.000504883,6.17E-11,,,,,
1.000457148,5.78E-12,1.000471451,1.26E-11,1.000511862,4.96E-11,1.000471474,2.13E-11,1.000504883,3.21E-11,1.000550201,4.80E-11,1.000576758,5.49E-11,1.000576758,6.09E-11,1.000563477,6.98E-11,1.000567383,7.61E-11,,,,,
