4.1v,4.1i,4.2v,4.2i,4.3v,4.3i,4.4v,4.4i,4.5v,4.5i,4.6v,4.6i,4.7v,4.7i,4.8v,4.8i,4.9v,4.9i,5.0v,5.0i
1,2.13E-09,1,2.23E-09,1,2.32E-09,1,2.43E-09,1,2.53E-09,1,2.64E-09,1,2.75E-09,1,2.86E-09,1,2.98E-09,1,3.09E-09
1.000000004,5.42E-10,1.000000004,5.80E-10,1.000000004,6.18E-10,1.000000004,6.58E-10,1.000000004,7.00E-10,1.000000004,7.43E-10,1.000000004,7.88E-10,1.000000004,8.34E-10,1.000000004,8.81E-10,1.000000004,9.30E-10
1.000000014,1.38E-10,1.000000014,1.51E-10,1.000000014,1.65E-10,1.000000014,1.80E-10,1.000000014,1.95E-10,1.000000014,2.11E-10,1.000000014,2.28E-10,1.000000014,2.45E-10,1.000000014,2.63E-10,1.000000014,2.83E-10
1.000000032,3.56E-11,1.000000032,3.98E-11,1.000000032,4.43E-11,1.000000032,4.92E-11,1.000000032,5.44E-11,1.000000032,5.99E-11,1.000000032,6.58E-11,1.000000032,7.20E-11,1.000000032,7.87E-11,1.000000032,8.57E-11
1.000000089,-1.55E-11,1.000000089,-1.61E-11,1.000000089,-1.63E-11,1.000000089,-1.64E-11,1.000000089,-1.65E-11,1.000000089,-1.69E-11,1.000000089,-1.79E-11,1.000000089,-1.96E-11,1.000000089,-2.19E-11,1.000000089,-2.45E-11
1.000000175,3.06E-12,1.000000175,3.39E-12,1.000000175,3.85E-12,1.000000175,4.42E-12,1.000000175,4.96E-12,1.000000175,5.34E-12,1.000000175,5.39E-12,1.000000175,5.03E-12,1.000000175,4.32E-12,1.000000175,3.38E-12
1.00000029,4.89E-12,1.00000029,5.26E-12,1.00000029,5.67E-12,1.00000029,6.12E-12,1.00000029,6.57E-12,1.00000029,1.28E-11,1.00000029,1.36E-11,1.00000029,1.45E-11,1.00000029,1.53E-11,1.00000029,1.62E-11
1.000000433,2.17E-12,1.000000433,2.26E-12,1.000000433,2.36E-12,1.000000433,2.46E-12,1.000000433,2.57E-12,1.000000433,5.58E-12,1.000000433,5.99E-12,1.000000433,6.49E-12,1.000000433,7.06E-12,1.000000433,7.70E-12
1.000000604,1.88E-12,1.000000604,1.88E-12,1.000000604,1.88E-12,1.000000604,1.88E-12,1.000000604,1.87E-12,1.000000604,1.72E-12,1.000000604,1.73E-12,1.000000604,1.76E-12,1.000000604,1.79E-12,1.000000604,1.84E-12
1.000000804,2.82E-12,1.000000804,2.87E-12,1.000000804,2.91E-12,1.000000804,2.95E-12,1.000000804,2.99E-12,1.000000804,2.55E-12,1.000000804,2.53E-12,1.000000804,2.49E-12,1.000000804,2.44E-12,1.000000804,2.38E-12
1.000001033,3.42E-12,1.000001033,3.50E-12,1.000001033,3.58E-12,1.000001033,3.66E-12,1.000001033,3.74E-12,1.000001033,3.81E-12,1.000001033,3.88E-12,1.000001033,3.94E-12,1.000001033,3.99E-12,1.000001033,4.04E-12
1.00000129,3.69E-12,1.00000129,3.78E-12,1.00000129,3.87E-12,1.00000129,3.95E-12,1.00000129,4.04E-12,1.00000129,4.24E-12,1.00000129,4.34E-12,1.000001575,4.72E-12,1.000001575,4.81E-12,1.000001575,4.90E-12
1.000001889,4.36E-12,1.000001889,4.46E-12,1.000001889,4.56E-12,1.000001889,4.65E-12,1.000001889,4.75E-12,1.000001889,4.89E-12,1.000001889,4.99E-12,1.000002232,5.43E-12,1.000002232,5.54E-12,1.000002232,5.64E-12
1.000002602,5.06E-12,1.000002602,5.17E-12,1.000002602,5.28E-12,1.000002602,5.40E-12,1.000002602,5.51E-12,1.000002602,5.62E-12,1.000002602,5.73E-12,1.000003001,6.25E-12,1.000003001,6.37E-12,1.000003001,6.49E-12
1.000003428,5.76E-12,1.000003428,5.89E-12,1.000003428,6.02E-12,1.000003428,6.15E-12,1.000003428,6.28E-12,1.000003428,6.41E-12,1.000003428,6.54E-12,1.000003884,7.08E-12,1.000003884,7.22E-12,1.000003884,7.35E-12
