3.1v,3.1i,3.2v,3.2i,3.3v,3.3i,3.4v,3.4i,3.5v,3.5i,3.6v,3.6i,3.7v,3.7i,3.8v,3.8i,3.9v,3.9i,4.0v,4.0i,,,,,
1,1.25E-09,1,1.33E-09,1,1.41E-09,1,1.49E-09,1,1.57E-09,1,1.66E-09,1,1.75E-09,1,1.84E-09,1,1.93E-09,1,2.03E-09,,,,,
1.000000004,2.58E-10,1.000000004,2.81E-10,1.000000004,3.05E-10,1.000000004,3.30E-10,1.000000004,3.55E-10,1.000000004,3.82E-10,1.000000004,4.09E-10,1.000000004,4.39E-10,1.000000004,4.71E-10,1.000000004,5.06E-10,,,,,
1.000000014,5.10E-11,1.000000014,5.71E-11,1.000000014,6.37E-11,1.000000014,7.06E-11,1.000000014,7.78E-11,1.000000014,8.56E-11,1.000000014,9.41E-11,1.000000014,1.03E-10,1.000000014,1.14E-10,1.000000014,1.26E-10,,,,,
1.000000032,1.06E-11,1.000000032,1.21E-11,1.000000032,1.38E-11,1.000000032,1.56E-11,1.000000032,1.76E-11,1.000000032,1.98E-11,1.000000032,2.22E-11,1.000000032,2.50E-11,1.000000032,2.81E-11,1.000000032,3.17E-11,,,,,
1.000000089,-6.33E-12,1.000000089,-7.20E-12,1.000000089,-8.13E-12,1.000000089,-9.08E-12,1.000000089,-1.00E-11,1.000000089,-1.10E-11,1.000000089,-1.20E-11,1.000000089,-1.29E-11,1.000000089,-1.39E-11,1.000000089,-1.48E-11,,,,,
1.000000165,1.61E-12,1.000000165,1.56E-12,1.000000165,1.49E-12,1.000000165,1.41E-12,1.000000165,1.31E-12,1.000000165,1.22E-12,1.000000165,1.13E-12,1.000000165,1.04E-12,1.000000175,2.69E-12,1.000000175,2.84E-12,,,,,
1.000000308,1.97E-12,1.000000309,2.03E-12,1.00000031,2.09E-12,1.000000311,2.14E-12,1.000000311,2.19E-12,1.000000312,2.24E-12,1.000000313,2.28E-12,1.000000314,2.31E-12,1.00000029,4.27E-12,1.00000029,4.56E-12,,,,,
1.000000495,1.92E-12,1.000000498,1.98E-12,1.0000005,2.04E-12,1.000000502,2.10E-12,1.000000503,2.15E-12,1.000000504,2.21E-12,1.000000507,2.27E-12,1.000000511,2.33E-12,1.000000433,2.01E-12,1.000000433,2.09E-12,,,,,
1.000000725,2.21E-12,1.00000073,2.27E-12,1.000000735,2.34E-12,1.000000738,2.40E-12,1.000000741,2.47E-12,1.000000742,2.53E-12,1.000000747,2.60E-12,1.000000755,2.67E-12,1.000000604,1.88E-12,1.000000604,1.88E-12,,,,,
1.000001,2.55E-12,1.000001008,2.63E-12,1.000001014,2.71E-12,1.00000102,2.78E-12,1.000001024,2.86E-12,1.000001027,2.93E-12,1.000001034,3.01E-12,1.000001046,3.10E-12,1.000000804,2.74E-12,1.000000804,2.78E-12,,,,,
1.000001319,2.89E-12,1.00000133,2.98E-12,1.000001339,3.07E-12,1.000001347,3.16E-12,1.000001353,3.25E-12,1.000001357,3.33E-12,1.000001367,3.42E-12,1.000001384,3.53E-12,1.000001033,3.26E-12,1.000001033,3.34E-12,,,,,
1.000001681,3.22E-12,1.000001696,3.32E-12,1.000001709,3.43E-12,1.000001719,3.53E-12,1.000001727,3.63E-12,1.000001732,3.72E-12,1.000001746,3.83E-12,1.00000177,3.95E-12,1.00000129,3.52E-12,1.00000129,3.61E-12,,,,,
1.000002087,3.55E-12,1.000002107,3.67E-12,1.000002123,3.78E-12,1.000002136,3.89E-12,1.000002147,4.01E-12,1.000002154,4.12E-12,1.000002172,4.23E-12,1.000002203,4.37E-12,1.000001889,4.17E-12,1.000001889,4.26E-12,,,,,
1.000002537,3.88E-12,1.000002561,4.01E-12,1.000002582,4.14E-12,1.000002599,4.26E-12,1.000002612,4.39E-12,1.000002621,4.51E-12,1.000002644,4.64E-12,1.000002682,4.79E-12,1.000002602,4.83E-12,1.000002602,4.95E-12,,,,,
1.000003567,4.53E-12,1.000003603,4.69E-12,1.000003086,4.49E-12,1.000003107,4.63E-12,1.000003123,4.76E-12,1.000003134,4.90E-12,1.000003162,5.04E-12,1.000003209,5.20E-12,1.000003428,5.50E-12,1.000003428,5.63E-12,,,,,
